	Module	Kind	#	Business Term	element	DictionaryEntryName	Description	xsd	object Class Term Qualifier	Object ClassTerm	Property Term Qualifier	Property Term	Datatype Qualifier	Representation Term	Associated Object Class Term Qualifier	Associated Object Class
230	muc	BBIE	5	Amount Restated_ Exchange Rate Source	gl-muc:amountRestatedExchangeRateSource	xBRL_ Multi Currency Detail. Amount Restated_ Exchange Rate Source	"Source of Exchange Rate for restated amount - for example, Reuters, Bloomberg"	string	xBRL	Multi Currency Detail	Amount Restated	Exchange Rate Source		Text		
231	muc	BBIE	6	Amount Restated_ Exchange Rate Type	gl-muc:amountRestatedExchangeRateType	xBRL_ Multi Currency Detail. Amount Restated_ Exchange Rate Type	"Type of Exchange Rate for restated amount - for example, spot rate, forward contract etc."	string	xBRL	Multi Currency Detail	Amount Restated	Exchange Rate Type		Text		
232	muc	BBIE	7	Amount Triangulation_ Amount	gl-muc:amountTriangulationAmount	xBRL_ Multi Currency Detail. Amount Triangulation_ Amount	The amount in the triangulation currency identified by amountTriangulationCurrency as of multicurrencyDetailExchangeRateDate.	monetary	xBRL	Multi Currency Detail	Amount Triangulation	Amount		Amount		
233	muc	BBIE	8	Amount Triangulation_ Currency. Code	gl-muc:amountTriangulationCurrency	xBRL_ Multi Currency Detail. Amount Triangulation_ Currency. Code	The currency used for tringulation between amountRestatedCurrency and the home currency. Recommended ISO 4217 coding.	QName	xBRL	Multi Currency Detail	Amount Triangulation	Currency		Code		
234	muc	BBIE	9	Amount Triangulation_ Exchange Rate. Numeric	gl-muc:amountTriangulationExchangeRate	xBRL_ Multi Currency Detail. Amount Triangulation_ Exchange Rate. Numeric	Exchange rate used to convert amountTriangulationAmount as of multicurrencyDetailExchangeRateDate expressed as national currency divided by triangulation currency	pure	xBRL	Multi Currency Detail	Amount Triangulation	Exchange Rate		Numeric		
235	muc	BBIE	10	Amount Triangulation_ Exchange Rate Source	gl-muc:amountTriangulationExchangeRateSource	xBRL_ Multi Currency Detail. Amount Triangulation_ Exchange Rate Source	"Source of Exchange Rate for triangulation amount - for example, Reuters, Bloomberg"	string	xBRL	Multi Currency Detail	Amount Triangulation	Exchange Rate Source		Text		
236	muc	BBIE	11	Amount Triangulation_ Exchange Rate Type	gl-muc:amountTriangulationExchangeRateType	xBRL_ Multi Currency Detail. Amount Triangulation_ Exchange Rate Type	"Type of Exchange Rate for triangulation amount - for example, spot rate, forward contract etc."	string	xBRL	Multi Currency Detail	Amount Triangulation	Exchange Rate Type		Text		
237	muc	BBIE	12	Restated Triangulation_ Exchange Rate. Numeric	gl-muc:restatedTriangulationExchangeRate	xBRL_ Multi Currency Detail. Restated Triangulation_ Exchange Rate. Numeric	Exchange rate used to convert from amountRestatedAmount to amountTriangulationAmount as of multicurrencyDetailExchangeRateDate expressed as foreign currency divided by triangulation currency	pure	xBRL	Multi Currency Detail	Restated Triangulation	Exchange Rate		Numeric		
238	muc	BBIE	13	Restated Triangulation_ Exchange Rate Source	gl-muc:restatedExchangeRateTriangulationSource	xBRL_ Multi Currency Detail. Restated Triangulation_ Exchange Rate Source	"Source of Exchange Rate for converting between foreign currency and triangulation currency - for example, Reuters, Bloomberg"	string	xBRL	Multi Currency Detail	Restated Triangulation	Exchange Rate Source		Text		
239	muc	BBIE	14	Restated Triangulation_ Exchange Rate Type	gl-muc:restatedExchangeRateTriangulationType	xBRL_ Multi Currency Detail. Restated Triangulation_ Exchange Rate Type	"Type of Exchange Rate for converting between foreign currency and triangulation currency - for example, spot rate, forward contract etc."	string	xBRL	Multi Currency Detail	Restated Triangulation	Exchange Rate Type		Text		
240	muc	BBIE	15	Detail Comment	gl-muc:multicurrencyDetailComment	xBRL_ Multi Currency Detail. Detail Comment	Comment describing the enclosing multicurrencyDetail tuple&apos;s contents. May include reason for recording additional exchange rates other than that used at the time of the original transaction.	string	xBRL	Multi Currency Detail		Detail Comment		Text		
241	cor	ABIE	0	Identifier Reference	gl-cor:identifierReference	xBRL_ Identifier Reference. Details	"Identification for customer, vendor, or employee."		xBRL	Identifier Reference						
242	cor	BBIE	1	Identifier Code	gl-cor:identifierCode	xBRL_ Identifier Reference. Identifier Code	N/A	string	xBRL	Identifier Reference		Identifier Code		Code		
243	cor	BBIE	2	Organization Type. Code	gl-cor:identifierOrganizationType	xBRL_ Identifier Reference. Organization Type. Code	"Identifier Organization Type. Enumerated as: individual, organization, other."	token	xBRL	Identifier Reference		Organization Type		Code		
244	cor	BBIE	3	Organization Type Description	gl-cor:identifierOrganizationTypeDescription	xBRL_ Identifier Reference. Organization Type Description	Free format description of the identifier organization type	string	xBRL	Identifier Reference		Organization Type Description		Text		
245	cor	BBIE	4	Description	gl-cor:identifierDescription	xBRL_ Identifier Reference. Description	Textual description of identifierReference.	string	xBRL	Identifier Reference		Description		Text		
246	cor	BBIE	5	Type. Code	gl-cor:identifierType	xBRL_ Identifier Reference. Type. Code	"Entity type enumerated: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor."	token	xBRL	Identifier Reference		Type		Code		
247	cor	BBIE	6	Category	gl-cor:identifierCategory	xBRL_ Identifier Reference. Category	"For use as Customer, Vendor or Employee Class such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business."	string	xBRL	Identifier Reference		Category		Text		
248	bus	BBIE	7	Purpose	gl-bus:identifierPurpose	xBRL_ Identifier Reference. Purpose	"Freeform for codes like purchasing, billing, manufacturing at identifier level."	string	xBRL	Identifier Reference		Purpose		Text		
249	cor	BBIE	8	Active. Indicator	gl-cor:identifierActive	xBRL_ Identifier Reference. Active. Indicator	Boolean to indicate whether the identifier is active='true' or inactive='false'	boolean	xBRL	Identifier Reference		Active		Indicator		
250	cor	ASBIE	9	Email	gl-cor:identifierEMail	xBRL_ Identifier Reference. Specified. xBRL_ Email	Email address for Identifier.		xBRL	Identifier Reference		Specified			xBRL	Email
251	cor	ASBIE	10	Phone	gl-cor:identifierPhoneNumber	xBRL_ Identifier Reference. Specified. xBRL_ Phone	Phone number related to Identifier.		xBRL	Identifier Reference		Specified			xBRL	Phone
252	cor	ASBIE	11	Fax	gl-cor:identifierFaxNumber	xBRL_ Identifier Reference. Specified. xBRL_ Fax	Fax number structure related to identifier.		xBRL	Identifier Reference		Specified			xBRL	Fax
253	bus	ASBIE	12	Address	gl-bus:identifierAddress	xBRL_ Identifier Reference. Specified. xBRL_ Address	"Address block of customer, vendor, employee for integration purposes, VAT."		xBRL	Identifier Reference		Specified			xBRL	Address
254	cor	ASBIE	13	Contact	gl-cor:identifierContactInformationStructure	xBRL_ Identifier Reference. Specified. xBRL_ Contact	Identifier Contact Structure		xBRL	Identifier Reference		Specified			xBRL	Contact
255	cor	ASBIE	14	Identifier External Reference	gl-cor:identifierExternalReference	xBRL_ Identifier Reference. Specified. xBRL_ Identifier External Reference	Structure containing references to an external authority associated with identifier		xBRL	Identifier Reference		Specified			xBRL	Identifier External Reference
256	cor	ABIE	0	Identifier External Reference	gl-cor:identifierExternalReference	xBRL_ Identifier External Reference. Details	Structure containing references to an external authority associated with identifier		xBRL	Identifier External Reference						
257	cor	BBIE	1	Authority Code	gl-cor:identifierAuthorityCode	xBRL_ Identifier External Reference. Authority Code	"External Authority e,g, Tax Authority ID Number associated with identifierReference"	string	xBRL	Identifier External Reference		Authority Code		Code		
258	cor	BBIE	2	Authority	gl-cor:identifierAuthority	xBRL_ Identifier External Reference. Authority	Name of External Authority e.g. Tax Authority	string	xBRL	Identifier External Reference		Authority		Text		
259	cor	BBIE	3	Authority Verification Date. Date Time	gl-cor:identifierAuthorityVerificationDate	xBRL_ Identifier External Reference. Authority Verification Date. Date Time	Date on which the External Authority last performed a verification	dateTime	xBRL	Identifier External Reference		Authority Verification Date		Date Time		
260	cor	ABIE	0	Document		xBRL_ Document. Details			xBRL	Document						
261	cor	BBIE	1	Type. Code	gl-cor:documentType	xBRL_ Document. Type. Code	"An enumerated field describing the original source document, with check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other."	token	xBRL	Document		Type		Code		
262	cor	BBIE	2	type Description	gl-cor:documentTypeDescription	xBRL_ Document. type Description	Free format description of the document type	string	xBRL	Document		type Description		Text		
263	cor	BBIE	3	Invoice Type. Code	gl-cor:invoiceType	xBRL_ Document. Invoice Type. Code	"Invoice Type self-billed, ePoS enumerated values"	token	xBRL	Document		Invoice Type		Code		
264	cor	BBIE	4	Number	gl-cor:documentNumber	xBRL_ Document. Number	"Invoice, check, voucher, or other source document identifier"	string	xBRL	Document		Number		Text		
265	cor	BBIE	5	Apply To Number. Code	gl-cor:documentApplyToNumber	xBRL_ Document. Apply To Number. Code	"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item."	string	xBRL	Document		Apply To Number		Code		
266	cor	BBIE	6	Reference	gl-cor:documentReference	xBRL_ Document. Reference	Internal reference for the document above; number assigned internally to track the document	string	xBRL	Document		Reference		Text		
267	cor	BBIE	7	Date. Date Time	gl-cor:documentDate	xBRL_ Document. Date. Date Time	"Date and less likely in the paper world but possible in the e-world, time on actual document invoice, voucher, check date. Other dates control posting information."	dateTime	xBRL	Document		Date		Date Time		
268	bus	BBIE	8	Received Date. Date Time	gl-bus:documentReceivedDate	xBRL_ Document. Received Date. Date Time	Date/time document was noted as received if necessary. Represents actual date received. Posting dates are maintained separately.	dateTime	xBRL	Document		Received Date		Date Time		
269	bus	BBIE	9	Chargeable Reimbursable	gl-bus:documentChargeReimb	xBRL_ Document. Chargeable Reimbursable	"Is this entry chargeable to client, reimbursable? Used by some systems to indicate that account on posting/validation should be posted to a customer or vendor&apos;s account."	string	xBRL	Document		Chargeable Reimbursable		Text		
270	bus	BBIE	10	Location	gl-bus:documentLocation	xBRL_ Document. Location	"Document location as URI, file name or other reference. Alternatively, text of document can be placed here."	string	xBRL	Document		Location		Text		
271	bus	ABIE	0	Measureable	gl-bus:measurable	xBRL_ Measureable. Details	"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an 'account', 'reporting bucket' or 'code'. Can be used to track any movements."		xBRL	Measureable						
272	bus	BBIE	1	Code	gl-bus:measurableCode	xBRL_ Measureable. Code	"Code for measurable item including BP - Business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other"	token	xBRL	Measureable		Code		Code		
273	bus	BBIE	2	Code Description	gl-bus:measurableCodeDescription	xBRL_ Measureable. Code Description	Free format description of the measurable code	string	xBRL	Measureable		Code Description		Text		
274	bus	BBIE	3	Category	gl-bus:measurableCategory	xBRL_ Measureable. Category	Category of the measurable	string	xBRL	Measureable		Category		Text		
275	bus	BBIE	4	ID	gl-bus:measurableID	xBRL_ Measureable. ID	Internal inventory part or SKU number or other code identifier for the measurable.	string	xBRL	Measureable		ID		Text		
276	bus	BBIE	5	ID Schema	gl-bus:measurableIDSchema	xBRL_ Measureable. ID Schema	URI or other identifier for schema with which measurable ID can be validated	string	xBRL	Measureable		ID Schema		Text		
277	bus	BBIE	6	ID Other	gl-bus:measurableIDOther	xBRL_ Measureable. ID Other	Second identifier such as vendor&apos;s item number	string	xBRL	Measureable		ID Other		Text		
278	bus	BBIE	7	ID Other Schema	gl-bus:measurableIDOtherSchema	xBRL_ Measureable. ID Other Schema	URI or other identifier for schema with which measurable ID Other can be validated	string	xBRL	Measureable		ID Other Schema		Text		
279	bus	BBIE	8	Description	gl-bus:measurableDescription	xBRL_ Measureable. Description	Text description of measurable e.g. inventory item or other identifier	string	xBRL	Measureable		Description		Text		
280	bus	BBIE	9	Quantity	gl-bus:measurableQuantity	xBRL_ Measureable. Quantity	"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc."	decimal	xBRL	Measureable		Quantity		Quantity		
281	bus	BBIE	10	Qualifier. Code	gl-bus:measurableQualifier	xBRL_ Measureable. Qualifier. Code	"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Scorecard information"	token	xBRL	Measureable		Qualifier		Code		
282	bus	BBIE	11	Unit Of Measure	gl-bus:measurableUnitOfMeasure	xBRL_ Measureable. Unit Of Measure	"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended."	string	xBRL	Measureable		Unit Of Measure		Text		
283	bus	BBIE	12	Cost Per Unit. Amount	gl-bus:measurableCostPerUnit	xBRL_ Measureable. Cost Per Unit. Amount	"Per unit price of the measurable. Although one might expect that measurableQuantity * measurableCostPerUnit= amount, this is not mandated except by external rules sets."	monetary	xBRL	Measureable		Cost Per Unit		Amount		
284	bus	BBIE	13	Start Date Time	gl-bus:measurableStartDateTime	xBRL_ Measureable. Start Date Time	Start time of the duration being measured	dateTime	xBRL	Measureable		Start Date Time		Date Time		
285	bus	BBIE	14	End Date Time	gl-bus:measurableEndDateTime	xBRL_ Measureable. End Date Time	End time of the duration being measured	dateTime	xBRL	Measureable		End Date Time		Date Time		
286	bus	BBIE	15	Active. Indicator	gl-bus:measurableActive	xBRL_ Measureable. Active. Indicator	Boolean to indicate whether the measurable is active='true' or inactive='false'	boolean	xBRL	Measureable		Active		Indicator		
287	ehm	ABIE	0	Enhanced Measurable		xBRL_ Enhanced Measurable. Details	"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other."		xBRL	Enhanced Measurable						
288	ehm	BBIE	1	Class ID. Code	gl-ehm:measurableClassID	xBRL_ Enhanced Measurable. Class ID. Code	"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other."	token	xBRL	Enhanced Measurable		Class ID		Code		
289	ehm	BBIE	2	Class Description	gl-ehm:measurableClassDescription	xBRL_ Enhanced Measurable. Class Description	Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.	string	xBRL	Enhanced Measurable		Class Description		Text		
290	ehm	BBIE	3	Costing Method Code	gl-ehm:costingMethodCode	xBRL_ Enhanced Measurable. Costing Method Code	"An enumerated code for the inventory or other measurable costing method. Enumerated as: LIFO, FIFO, average, weighted-average, standard-cost, tax-basis, book-basis, other."	token	xBRL	Enhanced Measurable		Costing Method Code		Code		
291	ehm	BBIE	4	Costing Method Description	gl-ehm:costingMethodDescription	xBRL_ Enhanced Measurable. Costing Method Description	Free format description associated with gl-ehm:costingMethodCode to provide specialization of clarification for the enumerated value of other.	string	xBRL	Enhanced Measurable		Costing Method Description		Text		
292	ehm	BBIE	5	Geospatial Coordinate	gl-ehm:geospatialCoordinate	xBRL_ Enhanced Measurable. Geospatial Coordinate	"Enter a relevant location for this item. Format can be either: - Degrees, minutes, and seconds DMS: 41°24&apos;12.2 N 2°10&apos;26.5 E - Degrees and decimal minutes DMM: 41 24.2028, 2 10.4418 - Decimal degrees DD: 41.40338, 2.17403"	string	xBRL	Enhanced Measurable		Geospatial Coordinate		Text		
293	ehm	ASBIE	6	Serial Lot	gl-ehm:serialLot	xBRL_ Enhanced Measurable. Specified. xBRL_ Serial Lot	"Tuple for holding information about serial numbers or lots batches. As a tuple, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable structure."		xBRL	Enhanced Measurable		Specified			xBRL	Serial Lot
294	ehm	ABIE	0	Serial Lot	gl-ehm:serialLot	xBRL_ Serial Lot. Details	"Tuple for holding information about serial numbers or lots batches. As a tuple, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable structure."		xBRL	Serial Lot						
295	ehm	BBIE	1	Code	gl-ehm:serialLotCode	xBRL_ Serial Lot. Code	"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the tuple, neither is assumed."	token	xBRL	Serial Lot		Code		Code		
296	ehm	BBIE	2	Description	gl-ehm:serialLotDescription	xBRL_ Serial Lot. Description	"Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be ""batch"" or ""group""."	string	xBRL	Serial Lot		Description		Text		
297	ehm	BBIE	3	Number	gl-ehm:serialLotNumber	xBRL_ Serial Lot. Number	The holder for that actual serial number or lot batch number/code assigned to an item or a batch of items.	string	xBRL	Serial Lot		Number		Text		
298	ehm	BBIE	4	Next Serial Lot Number	gl-ehm:nextSerialLotNumber	xBRL_ Serial Lot. Next Serial Lot Number	"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items."	string	xBRL	Serial Lot		Next Serial Lot Number		Text		
299	ehm	BBIE	5	Quantity	gl-ehm:serialLotQuantity	xBRL_ Serial Lot. Quantity	The quantity of units in this particular batch. Unit of measure is the gl-bus:measurableUnitofMeasure.	decimal	xBRL	Serial Lot		Quantity		Quantity		
300	ehm	BBIE	6	Original Quantity	gl-ehm:serialLotOriginalQuantity	xBRL_ Serial Lot. Original Quantity	The quantity of units in this batch on inception.	decimal	xBRL	Serial Lot		Original Quantity		Quantity		
301	ehm	BBIE	7	Remaining Quantity	gl-ehm:serialLotRemainingQuantity	xBRL_ Serial Lot. Remaining Quantity	The remaining quantity of units from the original batch; may be the same as the quantity in this batch or include other batches from the same original batch.	decimal	xBRL	Serial Lot		Remaining Quantity		Quantity		
302	ehm	BBIE	8	Origination. Date Time	gl-ehm:serialLotOrigination	xBRL_ Serial Lot. Origination. Date Time	Date of manufacture or creation.	dateTime	xBRL	Serial Lot		Origination		Date Time		
303	ehm	BBIE	9	Expiration. Date Time	gl-ehm:serialLotExpiration	xBRL_ Serial Lot. Expiration. Date Time	Expiration date of the batch.	dateTime	xBRL	Serial Lot		Expiration		Date Time		
304	ehm	BBIE	10	Manufacturer	gl-ehm:serialLotManufacturer	xBRL_ Serial Lot. Manufacturer	Manufacturer of the item serial or items lot/batch.	string	xBRL	Serial Lot		Manufacturer		Text		
305	ehm	BBIE	11	Batch Description	gl-ehm:serialLotBatchDescription	xBRL_ Serial Lot. Batch Description	A name or description of the items in the lot or batch.	string	xBRL	Serial Lot		Batch Description		Text		
306	ehm	BBIE	12	Warranty Start Date. Date Time	gl-ehm:serialLotWarrantyStartDate	xBRL_ Serial Lot. Warranty Start Date. Date Time	"If the items are covered by warranty, when that warranty covered will begin or has begun."	dateTime	xBRL	Serial Lot		Warranty Start Date		Date Time		
307	ehm	BBIE	13	Warranty End Date. Date Time	gl-ehm:serialLotWarrantyEndDate	xBRL_ Serial Lot. Warranty End Date. Date Time	"If the items are covered by warranty, when that warranty covered will end or ended."	dateTime	xBRL	Serial Lot		Warranty End Date		Date Time		
308	ehm	BBIE	14	Warranty Period. Numeric	gl-ehm:serialLotWarrantyPeriod	xBRL_ Serial Lot. Warranty Period. Numeric	"Warranty period - numeric portion; for a 30 day warranty period, the 30 would go here, and the day would go in gl-ehm:serialLotWarrantyPeriodUnit."	decimal	xBRL	Serial Lot		Warranty Period		Numeric		
309	ehm	BBIE	15	Warranty Period Unit	gl-ehm:serialLotWarrantyPeriodUnit	xBRL_ Serial Lot. Warranty Period Unit	"Warrant period - time or cycle unit portion. Values from the XBRL Unit Registry (www.xbrl.org/utr/utr.xml) are suggested where possible. Examples might include: H (hours), D (days), M (months), Y (years), machine cycles, km (kilometers)."	string	xBRL	Serial Lot		Warranty Period Unit		Text		
310	ehm	BBIE	16	Warranty Vendor	gl-ehm:serialLotWarrantyVendor	xBRL_ Serial Lot. Warranty Vendor	The vendor providing warranty; this may differ from the manufacturer.	string	xBRL	Serial Lot		Warranty Vendor		Text		
311	ehm	BBIE	17	Warranty Contract	gl-ehm:serialLotWarrantyContract	xBRL_ Serial Lot. Warranty Contract	"Contract or document information related to the warranty, such as a contract number and date or a URL with more information."	string	xBRL	Serial Lot		Warranty Contract		Text		
312	ehm	BBIE	18	Comment	gl-ehm:serialLotComment	xBRL_ Serial Lot. Comment	Free format text related to the serial number or lot.	string	xBRL	Serial Lot		Comment		Text		
313	bus	ABIE	0	Job	gl-bus:jobInfo	xBRL_ Job. Details	"Tuple for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo tuple for each entry line, but there may be a need to express more than one."		xBRL	Job						
314	usk	BBIE	1	Code	gl-usk:jobCode	xBRL_ Job. Code	"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts."	string	xBRL	Job		Code		Code		
315	usk	BBIE	2	Description	gl-usk:jobDescription	xBRL_ Job. Description	Description of job	string	xBRL	Job		Description		Text		
316	usk	BBIE	3	Phase Code	gl-usk:jobPhaseCode	xBRL_ Job. Phase Code	"Job code, phase, activity. Allows greater granularity than a simple job number. Although the core only reaches down from job to phases, this can be customized to extend down to cost codes."	string	xBRL	Job		Phase Code		Text		
317	usk	BBIE	4	Phase description	gl-usk:jobPhaseDescription	xBRL_ Job. Phase description	"Description of Job code, phase, activity"	string	xBRL	Job		Phase description		Text		
318	usk	BBIE	5	Active. Indicator	gl-usk:jobActive	xBRL_ Job. Active. Indicator	Boolean to indicate whether the job is active='true' or inactive='false'	boolean	xBRL	Job		Active		Indicator		
319	bus	ABIE	0	Depreciation Mortgage	gl-bus:depreciationMortgage	xBRL_ Depreciation Mortgage. Details	"Parent for information related to depreciation, mortgages, etc."		xBRL	Depreciation Mortgage						
320	bus	BBIE	1	Jurisdiction. Code	gl-bus:dmJurisdiction	xBRL_ Depreciation Mortgage. Jurisdiction. Code	"Jurisdiction e.g. federal, state, local: e.g. US Federal, Province of Québec, other identifier. Enumerated as: F, federal, S, state, L, local, other."	token	xBRL	Depreciation Mortgage		Jurisdiction		Code		
321	bus	BBIE	2	Method Type	gl-bus:dmMethodType	xBRL_ Depreciation Mortgage. Method Type	"Type of depreciation method: used for information about the loan percentage for loan or the depreciation method. This is used for informational purposes only. Examples of entries are '20%', '5 year DDB' Double Declining Balance."	string	xBRL	Depreciation Mortgage		Method Type		Text		
322	bus	BBIE	3	Life Length. Numeric	gl-bus:dmLifeLength	xBRL_ Depreciation Mortgage. Life Length. Numeric	Length of life in number of periods.	decimal	xBRL	Depreciation Mortgage		Life Length		Numeric		
323	bus	BBIE	4	Comment	gl-bus:dmComment	xBRL_ Depreciation Mortgage. Comment	"Description of each item related to depreciation, mortgage, loan, credit facility, etc."	string	xBRL	Depreciation Mortgage		Comment		Text		
324	bus	BBIE	5	Start Date. Date Time	gl-bus:dmStartDate	xBRL_ Depreciation Mortgage. Start Date. Date Time	"Start of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc."	dateTime	xBRL	Depreciation Mortgage		Start Date		Date Time		
325	bus	BBIE	6	End Date. Date Time	gl-bus:dmEndDate	xBRL_ Depreciation Mortgage. End Date. Date Time	"End of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc."	dateTime	xBRL	Depreciation Mortgage		End Date		Date Time		
326	bus	BBIE	7	Amount	gl-bus:dmAmount	xBRL_ Depreciation Mortgage. Amount	"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc."	monetary	xBRL	Depreciation Mortgage		Amount		Amount		
327	taf	ABIE	0	Originating Document	gl-taf:originatingDocumentStructure	xBRL_ Originating Document. Details	"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive structure of related documents."		xBRL	Originating Document						
328	taf	BBIE	1	Type. Code	gl-taf:originatingDocumentType	xBRL_ Originating Document. Type. Code	"Originating document type check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other."	token	xBRL	Originating Document		Type		Code		
329	taf	BBIE	2	Number	gl-taf:originatingDocumentNumber	xBRL_ Originating Document. Number	Originating document number	string	xBRL	Originating Document		Number		Text		
330	taf	BBIE	3	Date	gl-taf:originatingDocumentDate	xBRL_ Originating Document. Date	Originating document date	date	xBRL	Originating Document		Date		Date		
331	taf	BBIE	4	Identifier Type. Code	gl-taf:originatingDocumentIdentifierType	xBRL_ Originating Document. Identifier Type. Code	"Originating document identifier type. Enumerated as: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor."	token	xBRL	Originating Document		Identifier Type		Code		
332	taf	BBIE	5	Identifier Code	gl-taf:originatingDocumentIdentifierCode	xBRL_ Originating Document. Identifier Code	Originating document identifier code	string	xBRL	Originating Document		Identifier Code		Code		
333	taf	BBIE	6	Identifier Tax Code	gl-taf:originatingDocumentIdentifierTaxCode	xBRL_ Originating Document. Identifier Tax Code	Originating document identifier tax code	string	xBRL	Originating Document		Identifier Tax Code		Code		
334	cor	ABIE	0	Taxes	gl-cor:taxes	xBRL_ Taxes. Details	Tuple for holding tax related information		xBRL	Taxes						
335	cor	BBIE	1	Authority	gl-cor:taxAuthority	xBRL_ Taxes. Authority	Name of the relevant tax authority	string	xBRL	Taxes		Authority		Text		
336	cor	BBIE	2	Table Code	gl-cor:taxTableCode	xBRL_ Taxes. Table Code	Tax table code used by the relevant tax authority	string	xBRL	Taxes		Table Code		Code		
337	cor	BBIE	3	Description	gl-cor:taxDescription	xBRL_ Taxes. Description	Description of tax authority	string	xBRL	Taxes		Description		Text		
338	cor	BBIE	4	Amount	gl-cor:taxAmount	xBRL_ Taxes. Amount	Amount of taxes	monetary	xBRL	Taxes		Amount		Amount		
339	cor	BBIE	5	Basis. Amount	gl-cor:taxBasis	xBRL_ Taxes. Basis. Amount	Basis for taxation	monetary	xBRL	Taxes		Basis		Amount		
340	cor	BBIE	6	Percentage Rate. Numeric	gl-cor:taxPercentageRate	xBRL_ Taxes. Percentage Rate. Numeric	Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5	pure	xBRL	Taxes		Percentage Rate		Numeric		
341	cor	BBIE	7	Code	gl-cor:taxCode	xBRL_ Taxes. Code	A class or category of taxes	string	xBRL	Taxes		Code		Code		
342	cor	BBIE	8	Comment Exemption	gl-cor:taxCommentExemption	xBRL_ Taxes. Comment Exemption	Additional text/code for exemption reasons or other comments.	string	xBRL	Taxes		Comment Exemption		Text		
343	muc	BBIE	9	Foreign Currency_ Amount	gl-muc:taxAmountForeignCurrency	xBRL_ Taxes. Foreign Currency_ Amount	"If the tax is in a foreign currency, the amount of tax in that currency"	monetary	xBRL	Taxes	Foreign Currency	Amount		Amount		
344	muc	BBIE	10	Foreign Currency_ Currency. Code	gl-muc:taxCurrency	xBRL_ Taxes. Foreign Currency_ Currency. Code	"If the tax is in a foreign currency, that currency"	QName	xBRL	Taxes	Foreign Currency	Currency		Code		
345	muc	BBIE	11	Foreign Currency_ Exchange Rate Date. Date Time	gl-muc:taxExchangeRateDate	xBRL_ Taxes. Foreign Currency_ Exchange Rate Date. Date Time	"If the tax is in a foreign currency, the date or date and time of the exchange rate used"	dateTime	xBRL	Taxes	Foreign Currency	Exchange Rate Date		Date Time		
346	muc	BBIE	12	Foreign Currency_ Exchange Rate. Numeric	gl-muc:taxExchangeRate	xBRL_ Taxes. Foreign Currency_ Exchange Rate. Numeric	"If the tax is in a foreign currency, the exchange rate used expressed as national currency divided by foreign currency"	pure	xBRL	Taxes	Foreign Currency	Exchange Rate		Numeric		
