Module	Kind		seq	element	Business Term	DictionaryEntryName	Description	xsd	object Class Term Qualifier	Object ClassTerm	Property Term Qualifier	Property Term	Datatype Qualifier	Representation Term	Associated Object Class Term Qualifier	Associated Object Class
muc	BBIE	214	228	        gl-muc:restatedTriangulationExchangeRate	 Restated Triangulation_ Exchange Rate. Numeric	XBRLGL_ Multi Currency Detail. Restated Triangulation_ Exchange Rate. Numeric	Exchange rate used to convert from amountRestatedAmount to amountTriangulationAmount as of multicurrencyDetailExchangeRateDate expressed as foreign currency divided by triangulation currency	pure	XBRLGL	Multi Currency Detail	Restated Triangulation	Exchange Rate		Numeric		
muc	BBIE	215	229	        gl-muc:restatedExchangeRateTriangulationSource	 Restated Triangulation_ Exchange Rate Source	XBRLGL_ Multi Currency Detail. Restated Triangulation_ Exchange Rate Source	"Source of Exchange Rate for converting between foreign currency and triangulation currency - for example, Reuters, Bloomberg"	string	XBRLGL	Multi Currency Detail	Restated Triangulation	Exchange Rate Source		Text		
muc	BBIE	216	230	        gl-muc:restatedExchangeRateTriangulationType	 Restated Triangulation_ Exchange Rate Type	XBRLGL_ Multi Currency Detail. Restated Triangulation_ Exchange Rate Type	"Type of Exchange Rate for converting between foreign currency and triangulation currency - for example, spot rate, forward contract etc."	string	XBRLGL	Multi Currency Detail	Restated Triangulation	Exchange Rate Type		Text		
muc	BBIE	217	231	        gl-muc:multicurrencyDetailComment	 Detail Comment	XBRLGL_ Multi Currency Detail. Detail Comment	Comment describing the enclosing multicurrencyDetail tuple&apos;s contents. May include reason for recording additional exchange rates other than that used at the time of the original transaction.	string	XBRLGL	Multi Currency Detail		Detail Comment		Text		
cor	ASBIE	218	232	      gl-cor:identifierReference	 Identifier Reference	XBRLGL_ Entry Detail. Specified. XBRLGL_ Identifier Reference	"Identification for customer, vendor, or employee."		XBRLGL	Entry Detail		Specified			XBRLGL	Identifier Reference
cor	ABIE	219	232	      gl-cor:identifierReference	 Identifier Reference	XBRLGL_ Identifier Reference. Details	"Identification for customer, vendor, or employee."		XBRLGL	Identifier Reference						
cor	BBIE	220	233	        gl-cor:identifierCode	 Identifier Code	XBRLGL_ Identifier Reference. Identifier Code	N/A	string	XBRLGL	Identifier Reference		Identifier Code		Code		
cor	ASBIE	221	234	        gl-cor:identifierExternalReference	 Identifier External Reference	XBRLGL_ Identifier Reference. Specified. XBRLGL_ Identifier External Reference	Structure containing references to an external authority associated with identifier		XBRLGL	Identifier Reference		Specified			XBRLGL	Identifier External Reference
cor	ABIE	222	234	        gl-cor:identifierExternalReference	 Identifier External Reference	XBRLGL_ Identifier External Reference. Details	Structure containing references to an external authority associated with identifier		XBRLGL	Identifier External Reference						
cor	BBIE	223	235	          gl-cor:identifierAuthorityCode	 Authority Code	XBRLGL_ Identifier External Reference. Authority Code	"External Authority e,g, Tax Authority ID Number associated with identifierReference"	string	XBRLGL	Identifier External Reference		Authority Code		Code		
cor	BBIE	224	236	          gl-cor:identifierAuthority	 Authority	XBRLGL_ Identifier External Reference. Authority	Name of External Authority e.g. Tax Authority	string	XBRLGL	Identifier External Reference		Authority		Text		
cor	BBIE	225	237	          gl-cor:identifierAuthorityVerificationDate	 Authority Verification Date. Date Time	XBRLGL_ Identifier External Reference. Authority Verification Date. Date Time	Date on which the External Authority last performed a verification	dateTime	XBRLGL	Identifier External Reference		Authority Verification Date		Date Time		
cor	BBIE	226	238	        gl-cor:identifierOrganizationType	 Organization Type. Code	XBRLGL_ Identifier Reference. Organization Type. Code	"Identifier Organization Type. Enumerated as: individual, organization, other."	token	XBRLGL	Identifier Reference		Organization Type		Code		
cor	BBIE	227	239	        gl-cor:identifierOrganizationTypeDescription	 Organization Type Description	XBRLGL_ Identifier Reference. Organization Type Description	Free format description of the identifier organization type	string	XBRLGL	Identifier Reference		Organization Type Description		Text		
cor	BBIE	228	240	        gl-cor:identifierDescription	 Description	XBRLGL_ Identifier Reference. Description	Textual description of identifierReference.	string	XBRLGL	Identifier Reference		Description		Text		
cor	BBIE	229	241	        gl-cor:identifierType	 Type. Code	XBRLGL_ Identifier Reference. Type. Code	"Entity type enumerated: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor."	token	XBRLGL	Identifier Reference		Type		Code		
cor	BBIE	230	242	        gl-cor:identifierCategory	 Category	XBRLGL_ Identifier Reference. Category	"For use as Customer, Vendor or Employee Class such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business."	string	XBRLGL	Identifier Reference		Category		Text		
cor	ASBIE	231	243	        gl-cor:identifierEMail	 Email	XBRLGL_ Identifier Reference. Specified. XBRLGL_ Email	Email address for Identifier.		XBRLGL	Identifier Reference		Specified			XBRLGL	Email
cor	ASBIE	232	246	        gl-cor:identifierPhoneNumber	 Phone	XBRLGL_ Identifier Reference. Specified. XBRLGL_ Phone	Phone number related to Identifier.		XBRLGL	Identifier Reference		Specified			XBRLGL	Phone
cor	ASBIE	233	249	        gl-cor:identifierFaxNumber	 Fax	XBRLGL_ Identifier Reference. Specified. XBRLGL_ Fax	Fax number structure related to identifier.		XBRLGL	Identifier Reference		Specified			XBRLGL	Fax
bus	BBIE	233.5	252	        gl-bus:identifierPurpose	 Purpose	XBRLGL_ Identifier Reference. Purpose	"Freeform for codes like purchasing, billing, manufacturing at identifier level."	string	XBRLGL	Identifier Reference		Purpose		Text		
bus	ASBIE	234	253	        gl-bus:identifierAddress	 Address	XBRLGL_ Identifier Reference. Specified. XBRLGL_ Address	"Address block of customer, vendor, employee for integration purposes, VAT."		XBRLGL	Identifier Reference		Specified			XBRLGL	Address
cor	ASBIE	235	264	        gl-cor:identifierContactInformationStructure	 Contact	XBRLGL_ Identifier Reference. Specified. XBRLGL_ Contact	Identifier Contact Structure		XBRLGL	Identifier Reference		Specified			XBRLGL	Contact
cor	BBIE	236	282	        gl-cor:identifierActive	 Active. Indicator	XBRLGL_ Identifier Reference. Active. Indicator	Boolean to indicate whether the identifier is active='true' or inactive='false'	boolean	XBRLGL	Identifier Reference		Active		Indicator		
	ASBIE	237	282.5		 Document	XBRLGL_ Entry Detail. Specified. XBRLGL_ Document			XBRLGL	Entry Detail		Specified			XBRLGL	Document
	ABIE	238	282.6		 Document	XBRLGL_ Document. Details			XBRLGL	Document						
cor	BBIE	239	283	      gl-cor:documentType	 Type. Code	XBRLGL_ Document. Type. Code	"An enumerated field describing the original source document, with check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other."	token	XBRLGL	Document		Type		Code		
cor	BBIE	240	284	      gl-cor:documentTypeDescription	 type Description	XBRLGL_ Document. type Description	Free format description of the document type	string	XBRLGL	Document		type Description		Text		
cor	BBIE	241	285	      gl-cor:invoiceType	 Invoice Type. Code	XBRLGL_ Document. Invoice Type. Code	"Invoice Type self-billed, ePoS enumerated values"	token	XBRLGL	Document		Invoice Type		Code		
cor	BBIE	242	286	      gl-cor:documentNumber	 Number	XBRLGL_ Document. Number	"Invoice, check, voucher, or other source document identifier"	string	XBRLGL	Document		Number		Text		
cor	BBIE	243	287	      gl-cor:documentApplyToNumber	 Apply To Number. Code	XBRLGL_ Document. Apply To Number. Code	"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item."	string	XBRLGL	Document		Apply To Number		Code		
cor	BBIE	244	288	      gl-cor:documentReference	 Reference	XBRLGL_ Document. Reference	Internal reference for the document above; number assigned internally to track the document	string	XBRLGL	Document		Reference		Text		
cor	BBIE	245	289	      gl-cor:documentDate	 Date. Date Time	XBRLGL_ Document. Date. Date Time	"Date and less likely in the paper world but possible in the e-world, time on actual document invoice, voucher, check date. Other dates control posting information."	dateTime	XBRLGL	Document		Date		Date Time		
bus	BBIE	246	290	      gl-bus:documentReceivedDate	 Received Date. Date Time	XBRLGL_ Document. Received Date. Date Time	Date/time document was noted as received if necessary. Represents actual date received. Posting dates are maintained separately.	dateTime	XBRLGL	Document		Received Date		Date Time		
bus	BBIE	247	291	      gl-bus:documentChargeReimb	 Chargeable Reimbursable	XBRLGL_ Document. Chargeable Reimbursable	"Is this entry chargeable to client, reimbursable? Used by some systems to indicate that account on posting/validation should be posted to a customer or vendor&apos;s account."	string	XBRLGL	Document		Chargeable Reimbursable		Text		
bus	BBIE	248	292	      gl-bus:documentLocation	 Location	XBRLGL_ Document. Location	"Document location as URI, file name or other reference. Alternatively, text of document can be placed here."	string	XBRLGL	Document		Location		Text		
bus	BBIE	249	293	      gl-bus:paymentMethod	 Payment Method	XBRLGL_ Entry Detail. Payment Method	Method used or to be used to make the payment	string	XBRLGL	Entry Detail		Payment Method		Text		
cor	BBIE	250	294	      gl-cor:postingStatus	 Posting Status. Code	XBRLGL_ Entry Detail. Posting Status. Code	"deferred: although entered, it cannot be posted until a later time posted: already posted proposed: a proposed item that must be approved simulated: a simulated item, for what-if tax: a tax-specific entry unposted:entered but not yet posted or validated cancelled:entered and later cancelled other:other status - should be described in postingStatusDescription"	token	XBRLGL	Entry Detail		Posting Status		Code		
cor	BBIE	251	295	      gl-cor:postingStatusDescription	 Posting Status Description	XBRLGL_ Entry Detail. Posting Status Description	Free format description of the posting status	string	XBRLGL	Entry Detail		Posting Status Description		Text		
cor	BBIE	252	296	      gl-cor:detailComment	 Detail Comment	XBRLGL_ Entry Detail. Detail Comment	Description of this line of detail only	string	XBRLGL	Entry Detail		Detail Comment		Text		
cor	BBIE	253	297	      gl-cor:dateAcknowledged	 Date Acknowledged. Date Time	XBRLGL_ Entry Detail. Date Acknowledged. Date Time	Date of acknowledgement of goods/services shipped/received.	dateTime	XBRLGL	Entry Detail		Date Acknowledged		Date Time		
cor	BBIE	254	298	      gl-cor:confirmedDate	 Confirmed Date. Date Time	XBRLGL_ Entry Detail. Confirmed Date. Date Time	Date of confirmation of shipment/receipt.	dateTime	XBRLGL	Entry Detail		Confirmed Date		Date Time		
cor	BBIE	255	299	      gl-cor:shipFrom	 Ship From	XBRLGL_ Entry Detail. Ship From	References organizationAddressLocationIdentifier where used. Otherwise freeform.	string	XBRLGL	Entry Detail		Ship From		Text		
cor	BBIE	256	300	      gl-cor:shipReceivedDate	 Ship Received Date. Date Time	XBRLGL_ Entry Detail. Ship Received Date. Date Time	Date goods/services are shipped/received.	dateTime	XBRLGL	Entry Detail		Ship Received Date		Date Time		
cor	BBIE	257	301	      gl-cor:maturityDate	 Maturity Date. Date Time	XBRLGL_ Entry Detail. Maturity Date. Date Time	Due date or other maturity date.	dateTime	XBRLGL	Entry Detail		Maturity Date		Date Time		
cor	BBIE	258	302	      gl-cor:terms	 Terms	XBRLGL_ Entry Detail. Terms	Discount/payment terms.	string	XBRLGL	Entry Detail		Terms		Text		
bus	ASBIE	259	303	      gl-bus:measurable	 Measureable	XBRLGL_ Entry Detail. Specified. XBRLGL_ Measureable	"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an 'account', 'reporting bucket' or 'code'. Can be used to track any movements."		XBRLGL	Entry Detail		Specified			XBRLGL	Measureable
bus	ABIE	260	303	      gl-bus:measurable	 Measureable	XBRLGL_ Measureable. Details	"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an 'account', 'reporting bucket' or 'code'. Can be used to track any movements."		XBRLGL	Measureable						
bus	BBIE	261	304	        gl-bus:measurableCode	 Code	XBRLGL_ Measureable. Code	"Code for measurable item including BP - Business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other"	token	XBRLGL	Measureable		Code		Code		
bus	BBIE	262	305	        gl-bus:measurableCodeDescription	 Code Description	XBRLGL_ Measureable. Code Description	Free format description of the measurable code	string	XBRLGL	Measureable		Code Description		Text		
bus	BBIE	263	306	        gl-bus:measurableCategory	 Category	XBRLGL_ Measureable. Category	Category of the measurable	string	XBRLGL	Measureable		Category		Text		
bus	BBIE	264	307	        gl-bus:measurableID	 ID	XBRLGL_ Measureable. ID	Internal inventory part or SKU number or other code identifier for the measurable.	string	XBRLGL	Measureable		ID		Text		
bus	BBIE	265	308	        gl-bus:measurableIDSchema	 ID Schema	XBRLGL_ Measureable. ID Schema	URI or other identifier for schema with which measurable ID can be validated	string	XBRLGL	Measureable		ID Schema		Text		
bus	BBIE	266	309	        gl-bus:measurableIDOther	 ID Other	XBRLGL_ Measureable. ID Other	Second identifier such as vendor&apos;s item number	string	XBRLGL	Measureable		ID Other		Text		
bus	BBIE	267	310	        gl-bus:measurableIDOtherSchema	 ID Other Schema	XBRLGL_ Measureable. ID Other Schema	URI or other identifier for schema with which measurable ID Other can be validated	string	XBRLGL	Measureable		ID Other Schema		Text		
bus	BBIE	268	311	        gl-bus:measurableDescription	 Description	XBRLGL_ Measureable. Description	Text description of measurable e.g. inventory item or other identifier	string	XBRLGL	Measureable		Description		Text		
bus	BBIE	269	312	        gl-bus:measurableQuantity	 Quantity	XBRLGL_ Measureable. Quantity	"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc."	decimal	XBRLGL	Measureable		Quantity		Quantity		
bus	BBIE	270	313	        gl-bus:measurableQualifier	 Qualifier. Code	XBRLGL_ Measureable. Qualifier. Code	"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Scorecard information"	token	XBRLGL	Measureable		Qualifier		Code		
bus	BBIE	271	314	        gl-bus:measurableUnitOfMeasure	 Unit Of Measure	XBRLGL_ Measureable. Unit Of Measure	"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended."	string	XBRLGL	Measureable		Unit Of Measure		Text		
bus	BBIE	272	315	        gl-bus:measurableCostPerUnit	 Cost Per Unit. Amount	XBRLGL_ Measureable. Cost Per Unit. Amount	"Per unit price of the measurable. Although one might expect that measurableQuantity * measurableCostPerUnit= amount, this is not mandated except by external rules sets."	monetary	XBRLGL	Measureable		Cost Per Unit		Amount		
bus	BBIE	273	316	        gl-bus:measurableStartDateTime	 Start Date Time	XBRLGL_ Measureable. Start Date Time	Start time of the duration being measured	dateTime	XBRLGL	Measureable		Start Date Time		Date Time		
bus	BBIE	274	317	        gl-bus:measurableEndDateTime	 End Date Time	XBRLGL_ Measureable. End Date Time	End time of the duration being measured	dateTime	XBRLGL	Measureable		End Date Time		Date Time		
bus	BBIE	275	318	        gl-bus:measurableActive	 Active. Indicator	XBRLGL_ Measureable. Active. Indicator	Boolean to indicate whether the measurable is active='true' or inactive='false'	boolean	XBRLGL	Measureable		Active		Indicator		
bus	ASBIE	276	319	      gl-bus:jobInfo	 Job	XBRLGL_ Entry Detail. Specified. XBRLGL_ Job	"Tuple for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo tuple for each entry line, but there may be a need to express more than one."		XBRLGL	Entry Detail		Specified			XBRLGL	Job
bus	ABIE	277	319	      gl-bus:jobInfo	 Job	XBRLGL_ Job. Details	"Tuple for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo tuple for each entry line, but there may be a need to express more than one."		XBRLGL	Job						
usk	BBIE	278	320	        gl-usk:jobCode	 Code	XBRLGL_ Job. Code	"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts."	string	XBRLGL	Job		Code		Code		
usk	BBIE	279	321	        gl-usk:jobDescription	 Description	XBRLGL_ Job. Description	Description of job	string	XBRLGL	Job		Description		Text		
usk	BBIE	280	322	        gl-usk:jobPhaseCode	 Phase Code	XBRLGL_ Job. Phase Code	"Job code, phase, activity. Allows greater granularity than a simple job number. Although the core only reaches down from job to phases, this can be customized to extend down to cost codes."	string	XBRLGL	Job		Phase Code		Text		
usk	BBIE	281	323	        gl-usk:jobPhaseDescription	 Phase description	XBRLGL_ Job. Phase description	"Description of Job code, phase, activity"	string	XBRLGL	Job		Phase description		Text		
usk	BBIE	282	324	        gl-usk:jobActive	 Active. Indicator	XBRLGL_ Job. Active. Indicator	Boolean to indicate whether the job is active='true' or inactive='false'	boolean	XBRLGL	Job		Active		Indicator		
bus	ASBIE	283	325	      gl-bus:depreciationMortgage	 Depreciation Mortgage	XBRLGL_ Entry Detail. Specified. XBRLGL_ Depreciation Mortgage	"Parent for information related to depreciation, mortgages, etc."		XBRLGL	Entry Detail		Specified			XBRLGL	Depreciation Mortgage
bus	ABIE	284	325	      gl-bus:depreciationMortgage	 Depreciation Mortgage	XBRLGL_ Depreciation Mortgage. Details	"Parent for information related to depreciation, mortgages, etc."		XBRLGL	Depreciation Mortgage						
bus	BBIE	285	326	        gl-bus:dmJurisdiction	 Jurisdiction. Code	XBRLGL_ Depreciation Mortgage. Jurisdiction. Code	"Jurisdiction e.g. federal, state, local: e.g. US Federal, Province of Québec, other identifier. Enumerated as: F, federal, S, state, L, local, other."	token	XBRLGL	Depreciation Mortgage		Jurisdiction		Code		
bus	BBIE	286	327	        gl-bus:dmMethodType	 Method Type	XBRLGL_ Depreciation Mortgage. Method Type	"Type of depreciation method: used for information about the loan percentage for loan or the depreciation method. This is used for informational purposes only. Examples of entries are '20%', '5 year DDB' Double Declining Balance."	string	XBRLGL	Depreciation Mortgage		Method Type		Text		
bus	BBIE	287	328	        gl-bus:dmLifeLength	 Life Length. Numeric	XBRLGL_ Depreciation Mortgage. Life Length. Numeric	Length of life in number of periods.	decimal	XBRLGL	Depreciation Mortgage		Life Length		Numeric		
bus	BBIE	288	329	        gl-bus:dmComment	 Comment	XBRLGL_ Depreciation Mortgage. Comment	"Description of each item related to depreciation, mortgage, loan, credit facility, etc."	string	XBRLGL	Depreciation Mortgage		Comment		Text		
bus	BBIE	289	330	        gl-bus:dmStartDate	 Start Date. Date Time	XBRLGL_ Depreciation Mortgage. Start Date. Date Time	"Start of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc."	dateTime	XBRLGL	Depreciation Mortgage		Start Date		Date Time		
bus	BBIE	290	331	        gl-bus:dmEndDate	 End Date. Date Time	XBRLGL_ Depreciation Mortgage. End Date. Date Time	"End of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc."	dateTime	XBRLGL	Depreciation Mortgage		End Date		Date Time		
bus	BBIE	291	332	        gl-bus:dmAmount	 Amount	XBRLGL_ Depreciation Mortgage. Amount	"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc."	monetary	XBRLGL	Depreciation Mortgage		Amount		Amount		
	ASBIE	292	333		 Enhanced Measurable	XBRLGL_ Entry Detail. Specified. XBRLGL_ Enhanced Measurable	"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other."		XBRLGL	Entry Detail		Specified			XBRLGL	Enhanced Measurable
	ABIE	293	333		 Enhanced Measurable	XBRLGL_ Enhanced Measurable. Details	"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other."		XBRLGL	Enhanced Measurable						
ehm	BBIE	294	333	      gl-ehm:measurableClassID	 Class ID. Code	XBRLGL_ Enhanced Measurable. Class ID. Code	"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other."	token	XBRLGL	Enhanced Measurable		Class ID		Code		
ehm	BBIE	295	334	      gl-ehm:measurableClassDescription	 Class Description	XBRLGL_ Enhanced Measurable. Class Description	Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.	string	XBRLGL	Enhanced Measurable		Class Description		Text		
ehm	BBIE	296	335	      gl-ehm:costingMethodCode	 Costing Method Code	XBRLGL_ Enhanced Measurable. Costing Method Code	"An enumerated code for the inventory or other measurable costing method. Enumerated as: LIFO, FIFO, average, weighted-average, standard-cost, tax-basis, book-basis, other."	token	XBRLGL	Enhanced Measurable		Costing Method Code		Code		
ehm	BBIE	297	336	      gl-ehm:costingMethodDescription	 Costing Method Description	XBRLGL_ Enhanced Measurable. Costing Method Description	Free format description associated with gl-ehm:costingMethodCode to provide specialization of clarification for the enumerated value of other.	string	XBRLGL	Enhanced Measurable		Costing Method Description		Text		
ehm	BBIE	298	337	      gl-ehm:geospatialCoordinate	 Geospatial Coordinate	XBRLGL_ Enhanced Measurable. Geospatial Coordinate	"Enter a relevant location for this item. Format can be either: - Degrees, minutes, and seconds DMS: 41°24&apos;12.2 N 2°10&apos;26.5 E - Degrees and decimal minutes DMM: 41 24.2028, 2 10.4418 - Decimal degrees DD: 41.40338, 2.17403"	string	XBRLGL	Enhanced Measurable		Geospatial Coordinate		Text		
ehm	ASBIE	299	338	      gl-ehm:serialLot	 Serial Lot	XBRLGL_ Enhanced Measurable. Specified. XBRLGL_ Serial Lot	"Tuple for holding information about serial numbers or lots batches. As a tuple, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable structure."		XBRLGL	Enhanced Measurable		Specified			XBRLGL	Serial Lot
ehm	ABIE	300	338	      gl-ehm:serialLot	 Serial Lot	XBRLGL_ Serial Lot. Details	"Tuple for holding information about serial numbers or lots batches. As a tuple, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable structure."		XBRLGL	Serial Lot						
ehm	BBIE	301	339	        gl-ehm:serialLotCode	 Code	XBRLGL_ Serial Lot. Code	"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the tuple, neither is assumed."	token	XBRLGL	Serial Lot		Code		Code		
ehm	BBIE	302	340	        gl-ehm:serialLotDescription	 Description	XBRLGL_ Serial Lot. Description	Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be “batch� or “group�.	string	XBRLGL	Serial Lot		Description		Text		
ehm	BBIE	303	341	        gl-ehm:serialLotNumber	 Number	XBRLGL_ Serial Lot. Number	The holder for that actual serial number or lot batch number/code assigned to an item or a batch of items.	string	XBRLGL	Serial Lot		Number		Text		
ehm	BBIE	304	342	        gl-ehm:nextSerialLotNumber	 Next Serial Lot Number	XBRLGL_ Serial Lot. Next Serial Lot Number	"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items."	string	XBRLGL	Serial Lot		Next Serial Lot Number		Text		
ehm	BBIE	305	343	        gl-ehm:serialLotQuantity	 Quantity	XBRLGL_ Serial Lot. Quantity	The quantity of units in this particular batch. Unit of measure is the gl-bus:measurableUnitofMeasure.	decimal	XBRLGL	Serial Lot		Quantity		Quantity		
ehm	BBIE	306	344	        gl-ehm:serialLotOriginalQuantity	 Original Quantity	XBRLGL_ Serial Lot. Original Quantity	The quantity of units in this batch on inception.	decimal	XBRLGL	Serial Lot		Original Quantity		Quantity		
ehm	BBIE	307	345	        gl-ehm:serialLotRemainingQuantity	 Remaining Quantity	XBRLGL_ Serial Lot. Remaining Quantity	The remaining quantity of units from the original batch; may be the same as the quantity in this batch or include other batches from the same original batch.	decimal	XBRLGL	Serial Lot		Remaining Quantity		Quantity		
ehm	BBIE	308	346	        gl-ehm:serialLotOrigination	 Origination. Date Time	XBRLGL_ Serial Lot. Origination. Date Time	Date of manufacture or creation.	dateTime	XBRLGL	Serial Lot		Origination		Date Time		
ehm	BBIE	309	347	        gl-ehm:serialLotExpiration	 Expiration. Date Time	XBRLGL_ Serial Lot. Expiration. Date Time	Expiration date of the batch.	dateTime	XBRLGL	Serial Lot		Expiration		Date Time		
ehm	BBIE	310	348	        gl-ehm:serialLotManufacturer	 Manufacturer	XBRLGL_ Serial Lot. Manufacturer	Manufacturer of the item serial or items lot/batch.	string	XBRLGL	Serial Lot		Manufacturer		Text		
ehm	BBIE	311	349	        gl-ehm:serialLotBatchDescription	 Batch Description	XBRLGL_ Serial Lot. Batch Description	A name or description of the items in the lot or batch.	string	XBRLGL	Serial Lot		Batch Description		Text		
ehm	BBIE	312	350	        gl-ehm:serialLotWarrantyStartDate	 Warranty Start Date. Date Time	XBRLGL_ Serial Lot. Warranty Start Date. Date Time	"If the items are covered by warranty, when that warranty covered will begin or has begun."	dateTime	XBRLGL	Serial Lot		Warranty Start Date		Date Time		
ehm	BBIE	313	351	        gl-ehm:serialLotWarrantyEndDate	 Warranty End Date. Date Time	XBRLGL_ Serial Lot. Warranty End Date. Date Time	"If the items are covered by warranty, when that warranty covered will end or ended."	dateTime	XBRLGL	Serial Lot		Warranty End Date		Date Time		
ehm	BBIE	314	352	        gl-ehm:serialLotWarrantyPeriod	 Warranty Period. Numeric	XBRLGL_ Serial Lot. Warranty Period. Numeric	"Warranty period - numeric portion; for a 30 day warranty period, the 30 would go here, and the day would go in gl-ehm:serialLotWarrantyPeriodUnit."	decimal	XBRLGL	Serial Lot		Warranty Period		Numeric		
ehm	BBIE	315	353	        gl-ehm:serialLotWarrantyPeriodUnit	 Warranty Period Unit	XBRLGL_ Serial Lot. Warranty Period Unit	"Warrant period - time or cycle unit portion. Values from the XBRL Unit Registry (www.xbrl.org/utr/utr.xml) are suggested where possible. Examples might include: H (hours), D (days), M (months), Y (years), machine cycles, km (kilometers)."	string	XBRLGL	Serial Lot		Warranty Period Unit		Text		
ehm	BBIE	316	354	        gl-ehm:serialLotWarrantyVendor	 Warranty Vendor	XBRLGL_ Serial Lot. Warranty Vendor	The vendor providing warranty; this may differ from the manufacturer.	string	XBRLGL	Serial Lot		Warranty Vendor		Text		
ehm	BBIE	317	355	        gl-ehm:serialLotWarrantyContract	 Warranty Contract	XBRLGL_ Serial Lot. Warranty Contract	"Contract or document information related to the warranty, such as a contract number and date or a URL with more information."	string	XBRLGL	Serial Lot		Warranty Contract		Text		
ehm	BBIE	318	356	        gl-ehm:serialLotComment	 Comment	XBRLGL_ Serial Lot. Comment	Free format text related to the serial number or lot.	string	XBRLGL	Serial Lot		Comment		Text		
cor	ASBIE	319	357	      gl-cor:taxes	 Taxes	XBRLGL_ Entry Detail. Specified. XBRLGL_ Taxes	Tuple for holding tax related information		XBRLGL	Entry Detail		Specified			XBRLGL	Taxes
cor	ABIE	320	357	      gl-cor:taxes	 Taxes	XBRLGL_ Taxes. Details	Tuple for holding tax related information		XBRLGL	Taxes						
cor	BBIE	321	358	        gl-cor:taxAuthority	 Authority	XBRLGL_ Taxes. Authority	Name of the relevant tax authority	string	XBRLGL	Taxes		Authority		Text		
cor	BBIE	322	359	        gl-cor:taxTableCode	 Table Code	XBRLGL_ Taxes. Table Code	Tax table code used by the relevant tax authority	string	XBRLGL	Taxes		Table Code		Code		
cor	BBIE	323	360	        gl-cor:taxDescription	 Description	XBRLGL_ Taxes. Description	Description of tax authority	string	XBRLGL	Taxes		Description		Text		
cor	BBIE	324	361	        gl-cor:taxAmount	 Amount	XBRLGL_ Taxes. Amount	Amount of taxes	monetary	XBRLGL	Taxes		Amount		Amount		
cor	BBIE	325	362	        gl-cor:taxBasis	 Basis. Amount	XBRLGL_ Taxes. Basis. Amount	Basis for taxation	monetary	XBRLGL	Taxes		Basis		Amount		
cor	BBIE	326	363	        gl-cor:taxPercentageRate	 Percentage Rate. Numeric	XBRLGL_ Taxes. Percentage Rate. Numeric	Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5	pure	XBRLGL	Taxes		Percentage Rate		Numeric		
cor	BBIE	327	364	        gl-cor:taxCode	 Code	XBRLGL_ Taxes. Code	A class or category of taxes	string	XBRLGL	Taxes		Code		Code		
