num,module,kind,table,no,name,level,DT,length,DEN,Desc,OclassQ,Oclass,P,R,AQ,A
241,PPE,BBIE,PPE Card,13,Depreciated Months,1,I..4,4,GB_ PPE Card. Depreciated Months,The accumulated months for depreciation of PPE in the current accounting period,GB,PPE Card,Depreciated Months,Identifier,,
242,PPE,BBIE,PPE Card,14,Functional Currency,1,C..30,30,GB_ PPE Card. Functional Currency,The recording currency used in financial accounting of software Note:Indicated according to GB/T 12406-2008,GB,PPE Card,Functional Currency,Identifier,,
243,PPE,BBIE,PPE Card,15,Historical Cost of PPE,1,D20.2,20,GB_ PPE Card. Historical Cost of PPE,The historical cost of PPE,GB,PPE Card,Historical Cost of PPE,Amount,,
244,PPE,BBIE,PPE Card,16,Accumulated Depreciation of PPE,1,D20.2,20,GB_ PPE Card. Accumulated Depreciation of PPE,The accumulated depreciation of PPE at the current period,GB,PPE Card,Accumulated Depreciation of PPE,Amount,,
245,PPE,BBIE,PPE Card,17,Carrying Amount of PPE,1,D20.2,20,GB_ PPE Card. Carrying Amount of PPE,The carrying amount of PPE at the end of current period,GB,PPE Card,Carrying Amount of PPE,Amount,,
246,PPE,BBIE,PPE Card,18,Accumulated Impairment Provision of PPE,1,D20.2,20,GB_ PPE Card. Accumulated Impairment Provision of PPE,The accumulated impairment provision of PPE at the end of current period,GB,PPE Card,Accumulated Impairment Provision of PPE,Amount,,
247,PPE,BBIE,PPE Card,19,Net Residual Value Ratio of PPE,1,D20.2,20,GB_ PPE Card. Net Residual Value Ratio of PPE,The net residual value ratio of PPE at the end of current period,GB,PPE Card,Net Residual Value Ratio of PPE,Amount,,
248,PPE,BBIE,PPE Card,20,Net Residual Value of PPE,1,D20.2,20,GB_ PPE Card. Net Residual Value of PPE,The net residual value of PPE at the end of current period,GB,PPE Card,Net Residual Value of PPE,Amount,,
249,PPE,BBIE,PPE Card,21,Monthly Depreciation Ratio of PPE,1,D20.6,20,GB_ PPE Card. Monthly Depreciation Ratio of PPE,The monthly depreciation ratio of PPE,GB,PPE Card,Monthly Depreciation Ratio of PPE,Amount,,
250,PPE,BBIE,PPE Card,22,Monthly Depreciation of PPE,1,D20.2,20,GB_ PPE Card. Monthly Depreciation of PPE,The depreciation of PPE during the current period,GB,PPE Card,Monthly Depreciation of PPE,Amount,,
251,PPE,BBIE,PPE Card,23,PPE Capacity Unit,1,C..20,20,GB_ PPE Card. PPE Capacity Unit,The PPE capacity unit,GB,PPE Card,PPE Capacity Unit,Identifier,,
252,PPE,BBIE,PPE Card,24,Total PPE Capacity,1,D20.2,20,GB_ PPE Card. Total PPE Capacity,The expected total PPE capacity,GB,PPE Card,Total PPE Capacity,Amount,,
253,PPE,BBIE,PPE Card,25,Accumulated Usage of PPE Capacity,1,D20.2,20,GB_ PPE Card. Accumulated Usage of PPE Capacity,The accumulated total PPE capacity used at the end of the current period,GB,PPE Card,Accumulated Usage of PPE Capacity,Amount,,
254,PPE,BBIE,PPE Card,26,Number of PPE Reconciliation Account,1,C..60,60,GB_ PPE Card. Number of PPE Reconciliation Account,The number of PPE reconciliation account Note:e.g. '1601',GB,PPE Card,Number of PPE Reconciliation Account,Identifier,,
255,PPE,BBIE,PPE Card,27,Number of PPE Impairment Provision Reconciliation Account,1,C..60,60,GB_ PPE Card. Number of PPE Impairment Provision Reconciliation Account,The number of PPE impairment provision reconciliation account Note:e.g. “1602”,GB,PPE Card,Number of PPE Impairment Provision Reconciliation Account,Identifier,,
256,PPE,BBIE,PPE Card,28,Number of Accumulated Depreciation Reconciliation Account,1,C..60,60,GB_ PPE Card. Number of Accumulated Depreciation Reconciliation Account,The number of accumulated depreciation reconciliation account Note:e.g. “1603”,GB,PPE Card,Number of Accumulated Depreciation Reconciliation Account,Identifier,,
257,PPE,IDBIE,Physical Information of PPE Card,1,Card Number of PPE,1,C..60,60,GB_ Physical Information of PPE Card. ID,"The number of cards for registration of PPE Note:e.g., 'KP001'or '0001'",GB,Physical Information of PPE Card,Identification,Identifier,,
258,PPE,BBIE,Physical Information of PPE Card,2,Number of Accounting Period,1,C..15,15,GB_ Physical Information of PPE Card. Number of Accounting Period,"The number of accounting period according to accounting standard Note:Which support adjustment, such as the first adjustment of the 12th month, expressed as '1201'",GB,Physical Information of PPE Card,Number of Accounting Period,Identifier,,
259,PPE,BBIE,Physical Information of PPE Card,3,Tag Number of PPE,1,C..200,200,GB_ Physical Information of PPE Card. Tag Number of PPE,"The unique serial number of physical units and a tag number which can be found in a specific kind. If there is only one card number, it can be the same as the asset card number; if more, it should be the number of each kind. Note:e.g., 'BQ-001', 'BQ-002'",GB,Physical Information of PPE Card,Tag Number of PPE,Text,,
260,PPE,BBIE,Physical Information of PPE Card,4,Location of PPE,1,C..60,60,GB_ Physical Information of PPE Card. Location of PPE,The location of physical storage of PPE,GB,Physical Information of PPE Card,Location of PPE,Identifier,,
261,PPE,BBIE,Physical Information of PPE Card,5,Specification of PPE,1,C..60,60,GB_ Physical Information of PPE Card. Specification of PPE,The specification of PPE,GB,Physical Information of PPE Card,Specification of PPE,Identifier,,
262,PPE,IDBIE,Use Information of PPE Card,1,Card Number of PPE,1,C..60,60,GB_ Use Information of PPE Card. ID,"The number of cards for registration of PPE Note:e.g., 'KP001'or '0001'",GB,Use Information of PPE Card,Identification,Identifier,,
263,PPE,BBIE,Use Information of PPE Card,2,Tag Number of PPE,1,C..200,200,GB_ Use Information of PPE Card. Tag Number of PPE,"The unique serial number of physical units and a tag number which can be found in a specific kind. If there is only one card number, it can be the same as the asset card number; if more, it should be the number of each kind. Note:e.g., 'BQ-001', 'BQ-002'",GB,Use Information of PPE Card,Tag Number of PPE,Text,,
264,PPE,BBIE,Use Information of PPE Card,3,Number of Accounting Period,1,C..15,15,GB_ Use Information of PPE Card. Number of Accounting Period,"The number of accounting period according to accounting standard Note:Which support adjustment, such as the first adjustment of the 12th month, expressed as '1201'",GB,Use Information of PPE Card,Number of Accounting Period,Identifier,,
265,PPE,BBIE,Use Information of PPE Card,4,Department Code,1,C..60,60,GB_ Use Information of PPE Card. Department Code,The code of internal department,GB,Use Information of PPE Card,Department Code,Identifier,,
266,PPE,BBIE,Use Information of PPE Card,5,Depreciation Allocation Proportion,1,D3.2,3,GB_ Use Information of PPE Card. Depreciation Allocation Proportion,"The depreciation allocation proportion of each department Note:If PPE is shared by multiple departments, it will be shown in different lines",GB,Use Information of PPE Card,Depreciation Allocation Proportion,Rate,,
267,PPE,IDBIE,Reduction of PPE,1,Serial Number of PPE Decrement,1,C..60,60,GB_ Reduction of PPE. ID,The serial number of PPE decrement Note:It can be the serial number or the number of document,GB,Reduction of PPE,Identification,Identifier,,
268,PPE,BBIE,Reduction of PPE,2,Date of PPE Decrement,1,C8,8,GB_ Reduction of PPE. Date of PPE Decrement,The date of PPE decrement Note:   'YYYYMMDD' according to the ISO 8601:2000,GB,Reduction of PPE,Date of PPE Decrement,Date,,
269,PPE,BBIE,Reduction of PPE,3,Number of Accounting Period,1,C..15,15,GB_ Reduction of PPE. Number of Accounting Period,"The number of accounting period according to accounting standard Note:Which support adjustment, such as the first adjustment of the 12th month, expressed as '1201'",GB,Reduction of PPE,Number of Accounting Period,Identifier,,
270,PPE,BBIE,Reduction of PPE,4,Code of Change Mode in PPE,1,C..60,60,GB_ Reduction of PPE. Code of Change Mode in PPE,"The code of various change modes of PPE card Note:e.g., '01' means 'purchase', '02' means 'disposal', '03' means 'impairment' , '04' means 'revaluation', '05' means 'change in historical cost', '06' means 'change in accumulated depreciation', etc.",GB,Reduction of PPE,Code of Change Mode in PPE,Identifier,,
271,PPE,BBIE,Reduction of PPE,5,Card Number of PPE,1,C..60,60,GB_ Reduction of PPE. Card Number of PPE,"The number of cards for registration of PPE Note:e.g., 'KP001'or '0001'",GB,Reduction of PPE,Card Number of PPE,Identifier,,
272,PPE,BBIE,Reduction of PPE,6,PPE Name,1,C..200,200,GB_ Reduction of PPE. PPE Name,The name of PPE Note:e.g. “printer”,GB,Reduction of PPE,PPE Name,Text,,
273,PPE,BBIE,Reduction of PPE,7,PPE Number,1,C..60,60,GB_ Reduction of PPE. PPE Number,The number of PPE Note:e.g. 'DYJ-001',GB,Reduction of PPE,PPE Number,Identifier,,
274,PPE,BBIE,Reduction of PPE,8,Amount of PPE Decrement,1,D20.6,20,GB_ Reduction of PPE. Amount of PPE Decrement,The amount of PPE decrement,GB,Reduction of PPE,Amount of PPE Decrement,Amount,,
275,PPE,BBIE,Reduction of PPE,9,Decrement of PPE Historical Cost,1,D20.2,20,GB_ Reduction of PPE. Decrement of PPE Historical Cost,The decrement of PPE historical cost,GB,Reduction of PPE,Decrement of PPE Historical Cost,Amount,,
276,PPE,BBIE,Reduction of PPE,10,Decrement of PPE Accumulated Depreciation,1,D20.2,20,GB_ Reduction of PPE. Decrement of PPE Accumulated Depreciation,The decrement of PPE accumulated depreciation,GB,Reduction of PPE,Decrement of PPE Accumulated Depreciation,Amount,,
277,PPE,BBIE,Reduction of PPE,11,Impairment Provision of Decrement of PPE,1,D20.2,20,GB_ Reduction of PPE. Impairment Provision of Decrement of PPE,The impairment provision of decrement of PPE,GB,Reduction of PPE,Impairment Provision of Decrement of PPE,Amount,,
278,PPE,BBIE,Reduction of PPE,12,Residual Value of Decrement of PPE,1,D20.2,20,GB_ Reduction of PPE. Residual Value of Decrement of PPE,The residual value of decrement of PPE,GB,Reduction of PPE,Residual Value of Decrement of PPE,Amount,,
279,PPE,BBIE,Reduction of PPE,13,Revenue of PPE Disposal,1,D20.2,20,GB_ Reduction of PPE. Revenue of PPE Disposal,The revenue generated during the process of PPE disposal,GB,Reduction of PPE,Revenue of PPE Disposal,Amount,,
280,PPE,BBIE,Reduction of PPE,14,Expense of PPE Disposal,1,D20.2,20,GB_ Reduction of PPE. Expense of PPE Disposal,The expense generated during the process of PPE disposal,GB,Reduction of PPE,Expense of PPE Disposal,Amount,,
281,PPE,BBIE,Reduction of PPE,15,Reason for PPE Decrement,1,C..200,200,GB_ Reduction of PPE. Reason for PPE Decrement,The reason for decrement of PPE,GB,Reduction of PPE,Reason for PPE Decrement,Text,,
282,PPE,IDBIE,Physical Information of PPE Reduction,1,Serial Number of PPE Decrement,1,C..60,60,GB_ Physical Information of PPE Reduction. ID,The serial number of PPE decrement Note:It can be the serial number or the number of document,GB,Physical Information of PPE Reduction,Identification,Identifier,,
283,PPE,BBIE,Physical Information of PPE Reduction,2,Card Number of PPE,1,C..60,60,GB_ Physical Information of PPE Reduction. Card Number of PPE,"The number of cards for registration of PPE Note:e.g., 'KP001'or '0001'",GB,Physical Information of PPE Reduction,Card Number of PPE,Identifier,,
284,PPE,BBIE,Physical Information of PPE Reduction,3,Tag Number of PPE,1,C..200,200,GB_ Physical Information of PPE Reduction. Tag Number of PPE,"The unique serial number of physical units and a tag number which can be found in a specific kind. If there is only one card number, it can be the same as the asset card number; if more, it should be the number of each kind. Note:e.g., 'BQ-001', 'BQ-002'",GB,Physical Information of PPE Reduction,Tag Number of PPE,Text,,
285,PPE,BBIE,Physical Information of PPE Reduction,4,Number of Accounting Period,1,C..15,15,GB_ Physical Information of PPE Reduction. Number of Accounting Period,"The number of accounting period according to accounting standard Note:Which support adjustment, such as the first adjustment of the 12th month, expressed as '1201'",GB,Physical Information of PPE Reduction,Number of Accounting Period,Identifier,,
286,PPE,IDBIE,Change Information of PPE Reduction,1,Serial Number of Changes in PPE,1,C..60,60,GB_ Change Information of PPE Reduction. ID,The serial number of the record of changes in PPE,GB,Change Information of PPE Reduction,Identification,Identifier,,
287,PPE,BBIE,Change Information of PPE Reduction,2,Date of Changes in PPE,1,C8,8,GB_ Change Information of PPE Reduction. Date of Changes in PPE,The date of the change of PPE Note:'YYYYMMDD' according to ISO 8601:2000.,GB,Change Information of PPE Reduction,Date of Changes in PPE,Date,,
288,PPE,BBIE,Change Information of PPE Reduction,3,Number of Accounting Period,1,C..15,15,GB_ Change Information of PPE Reduction. Number of Accounting Period,"The number of accounting period according to accounting standard Note:Which support adjustment, such as the first adjustment of the 12th month, expressed as '1201'",GB,Change Information of PPE Reduction,Number of Accounting Period,Identifier,,
289,PPE,BBIE,Change Information of PPE Reduction,4,Card Number of PPE,1,C..60,60,GB_ Change Information of PPE Reduction. Card Number of PPE,"The number of cards for registration of PPE Note:e.g., 'KP001'or '0001'",GB,Change Information of PPE Reduction,Card Number of PPE,Identifier,,
290,PPE,BBIE,Change Information of PPE Reduction,5,PPE Number,1,C..60,60,GB_ Change Information of PPE Reduction. PPE Number,The number of PPE Note:e.g. 'DYJ-001',GB,Change Information of PPE Reduction,PPE Number,Identifier,,
291,PPE,BBIE,Change Information of PPE Reduction,6,PPE Name,1,C..200,200,GB_ Change Information of PPE Reduction. PPE Name,The name of PPE Note:e.g. “printer”,GB,Change Information of PPE Reduction,PPE Name,Text,,
292,PPE,BBIE,Change Information of PPE Reduction,7,Code of Change Mode in PPE,1,C..60,60,GB_ Change Information of PPE Reduction. Code of Change Mode in PPE,"The code of various change modes of PPE card Note:e.g., '01' means 'purchase', '02' means 'disposal', '03' means 'impairment' , '04' means 'revaluation', '05' means 'change in historical cost', '06' means 'change in accumulated depreciation', etc.",GB,Change Information of PPE Reduction,Code of Change Mode in PPE,Identifier,,
293,PPE,BBIE,Change Information of PPE Reduction,8,Tag Number of PPE,1,C..200,200,GB_ Change Information of PPE Reduction. Tag Number of PPE,"The unique serial number of physical units and a tag number which can be found in a specific kind. If there is only one card number, it can be the same as the asset card number; if more, it should be the number of each kind. Note:e.g., 'BQ-001', 'BQ-002'",GB,Change Information of PPE Reduction,Tag Number of PPE,Text,,
294,PPE,BBIE,Change Information of PPE Reduction,9,Method or Value before Changes in PPE,1,C..60,60,GB_ Change Information of PPE Reduction. Method or Value before Changes in PPE,"The method or value before changes in PPE Note:e.g., before changes in PPE, 'straight line method' was used or the historical cost was '10000'",GB,Change Information of PPE Reduction,Method or Value before Changes in PPE,Identifier,,
295,PPE,BBIE,Change Information of PPE Reduction,10,Method or Value after Changes in PPE,1,C..60,60,GB_ Change Information of PPE Reduction. Method or Value after Changes in PPE,"The method or value after changes in PPE Note:e.g., after changes in PPE, 'double declining balance method' is used or the historical cost becomes '20000'",GB,Change Information of PPE Reduction,Method or Value after Changes in PPE,Identifier,,
296,PPE,BBIE,Change Information of PPE Reduction,11,Reason for Changes in PPE,1,C..200,200,GB_ Change Information of PPE Reduction. Reason for Changes in PPE,The reasons for changes in PPE,GB,Change Information of PPE Reduction,Reason for Changes in PPE,Text,,
297,Employee Payroll,IDBIE,Payroll Period,1,"Payroll Year,",1,C4,4,GB_ Payroll Period. ID,The year number of payment to employees Note:e.g. '2008',GB,Payroll Period,Identification,Identifier,,
298,Employee Payroll,BBIE,Payroll Period,2,Number of Payroll Period,1,C..2,2,GB_ Payroll Period. Number of Payroll Period,"The period number of payroll, usually by monthly payment Note:e.g., '3' means March",GB,Payroll Period,Number of Payroll Period,Identifier,,
299,Employee Payroll,BBIE,Payroll Period,3,Beginning Date of Payroll Period,1,C8,8,GB_ Payroll Period. Beginning Date of Payroll Period,The beginning date of payroll period Note:'YYYYMMDD' according to ISO 8601:2000,GB,Payroll Period,Beginning Date of Payroll Period,Date,,
300,Employee Payroll,BBIE,Payroll Period,4,Ending Date of Payroll Period,1,C8,8,GB_ Payroll Period. Ending Date of Payroll Period,The ending date of payroll period Note:'YYYYMMDD' according to ISO 8601:2000,GB,Payroll Period,Ending Date of Payroll Period,Date,,
301,Employee Payroll,IDBIE,Payroll Item,1,Name of Payroll Category,1,C..60,60,GB_ Payroll Item. ID,"The categories are defined depending on the different types of employees and different payment time Note:e.g., 'senior executive compensation' and 'piecework compensation' may be considered as two different categories, and different payroll categories can be operated by different persons",GB,Payroll Item,Identification,Identifier,,
302,Employee Payroll,BBIE,Payroll Item,2,Code of Payroll Item,1,C..60,60,GB_ Payroll Item. Code of Payroll Item,The code of payroll item Note:e.g. '001',GB,Payroll Item,Code of Payroll Item,Identifier,,
303,Employee Payroll,BBIE,Payroll Item,3,Name of Payroll Item,1,C..60,60,GB_ Payroll Item. Name of Payroll Item,"The name of payroll item Note:e.g., 'basic salary', 'bonus', 'deduction' etc.",GB,Payroll Item,Name of Payroll Item,Identifier,,
304,Employee Payroll,IDBIE,Employee Compensation Record,1,Employee Code,1,C..60,60,GB_ Employee Compensation Record. ID,The code of employee,GB,Employee Compensation Record,Identification,Identifier,,
305,Employee Payroll,BBIE,Employee Compensation Record,2,Employee Type,1,C..60,60,GB_ Employee Compensation Record. Employee Type,The employee type Note:According to needs of staff management,GB,Employee Compensation Record,Employee Type,Identifier,,
306,Employee Payroll,BBIE,Employee Compensation Record,3,Department Code,1,C..60,60,GB_ Employee Compensation Record. Department Code,The code of internal department,GB,Employee Compensation Record,Department Code,Identifier,,
307,Employee Payroll,BBIE,Employee Compensation Record,4,Name of Payroll Category,1,C..60,60,GB_ Employee Compensation Record. Name of Payroll Category,"The categories are defined depending on the different types of employees and different payment time Note:e.g., 'senior executive compensation' and 'piecework compensation' may be considered as two different categories, and different payroll categories can be operated by different persons",GB,Employee Compensation Record,Name of Payroll Category,Identifier,,
308,Employee Payroll,BBIE,Employee Compensation Record,5,"Payroll Year,",1,C4,4,"GB_ Employee Compensation Record. Payroll Year,",The year number of payment to employees Note:e.g. '2008',GB,Employee Compensation Record,"Payroll Year,",Code,,
309,Employee Payroll,BBIE,Employee Compensation Record,6,Number of Payroll Period,1,C..2,2,GB_ Employee Compensation Record. Number of Payroll Period,"The period number of payroll, usually by monthly payment Note:e.g., '3' means March",GB,Employee Compensation Record,Number of Payroll Period,Identifier,,
310,Employee Payroll,BBIE,Employee Compensation Record,7,Fiscal Year,1,C4,4,GB_ Employee Compensation Record. Fiscal Year,The year of the current financial statement Note:e.g. '2010',GB,Employee Compensation Record,Fiscal Year,Code,,
311,Employee Payroll,BBIE,Employee Compensation Record,8,Number of Accounting Period,1,C..15,15,GB_ Employee Compensation Record. Number of Accounting Period,"The number of accounting period according to accounting standard Note:Which support adjustment, such as the first adjustment of the 12th month, expressed as '1201'",GB,Employee Compensation Record,Number of Accounting Period,Identifier,,
312,Employee Payroll,BBIE,Employee Compensation Record,9,Currency Code,1,C..10,10,GB_ Employee Compensation Record. Currency Code,The currency code Note:According to the ISO 4217:2001,GB,Employee Compensation Record,Currency Code,Identifier,,
313,Employee Payroll,IDBIE,Employee Pay Record Detail,1,Employee Code,1,C..60,60,GB_ Employee Pay Record Detail. ID,The code of employee,GB,Employee Pay Record Detail,Identification,Identifier,,
314,Employee Payroll,BBIE,Employee Pay Record Detail,2,Name of Payroll Category,1,C..60,60,GB_ Employee Pay Record Detail. Name of Payroll Category,"The categories are defined depending on the different types of employees and different payment time Note:e.g., 'senior executive compensation' and 'piecework compensation' may be considered as two different categories, and different payroll categories can be operated by different persons",GB,Employee Pay Record Detail,Name of Payroll Category,Identifier,,
315,Employee Payroll,BBIE,Employee Pay Record Detail,3,"Payroll Year,",1,C4,4,"GB_ Employee Pay Record Detail. Payroll Year,",The year number of payment to employees Note:e.g. '2008',GB,Employee Pay Record Detail,"Payroll Year,",Code,,
316,Employee Payroll,BBIE,Employee Pay Record Detail,4,Number of Payroll Period,1,C..2,2,GB_ Employee Pay Record Detail. Number of Payroll Period,"The period number of payroll, usually by monthly payment Note:e.g., '3' means March",GB,Employee Pay Record Detail,Number of Payroll Period,Identifier,,
317,Employee Payroll,BBIE,Employee Pay Record Detail,5,Code of Payroll Item,1,C..60,60,GB_ Employee Pay Record Detail. Code of Payroll Item,The code of payroll item Note:e.g. '001',GB,Employee Pay Record Detail,Code of Payroll Item,Identifier,,
318,Employee Payroll,BBIE,Employee Pay Record Detail,6,Payroll Amount,1,D20.2,20,GB_ Employee Pay Record Detail. Payroll Amount,The amount of current payroll payment,GB,Employee Pay Record Detail,Payroll Amount,Amount,,
