ENTITY_NAME	ATTRIBUTE_NAME	DOMAIN_NAME	#	Module	A/B/ID/RL/AS	CC/BIE	Business Term	Dictionary Entry Name	Object Class Term Qualifier	Object Class Term	Property Term Qualifier	Property Term	Datatype Qualifiry	Representation Term	Associate Object Class Term Qualifier	Associate Object Class Term	Relation Object Class Term Qualifier	Relation Object Class Term	DESCRIPTION	Card.
GL DETAILS	JE LINE DESCRIPTION	TEXT 1000	831	5.GL	B	BIE	Line Description	GL Details_ List. Line Description. Text	GL Details 	List		Line Description		Text					Description of the individual line within the journal entry.	1..1
GL DETAILS	SOURCE CODE	IDENTIFIER 25	832	5.GL	RL	BIE	Source Code	GL Details_ List. Source Code. GL Source_ List	GL Details 	List		Source Code					GL Source	List	"Code for source from which the journal entry originated; for example, sales journal, cash receipts journal, general journal, payroll journal, accountant manual entry, or spreadsheet. "	1..1
GL DETAILS	BILL NUMBER	TEXT 100	833	5.GL	B	BIE	Bill Number	GL Details_ List. Bill Number. Text	GL Details 	List		Bill Number		Text					"The number of the bill. A bill usually includes bank drafts, promissory notes and checks. A bill may be issued by the drawer who agreed upon themselves or entrust the drawee at sight; a specified date to the payee or bearer unconditionally pays a certain amount of securities. This number is generated either by manual input or by the system."	0..1
GL DETAILS	BILL TYPE CODE	IDENTIFIER 60	834	5.GL	B	BIE	Bill Type Code	GL Details_ List. Bill Type Code. Identifier	GL Details 	List		Bill Type Code		Identifier					"The type of the bill; for example, bank drafts, promissory notes and checks. "	0..1
GL DETAILS	BILL DATE	DATE	835	5.GL	B	BIE	Bill Date	GL Details_ List. Bill Date. Date	GL Details 	List		Bill Date		Date					The date of the bill.	0..1
GL DETAILS	QUANTITY	QUANTITY	836	5.GL	B	BIE	Quantity	GL Details_ List. Quantity. Quantity	GL Details 	List		Quantity		Quantity					"The quantity of items referenced in the journal entry line. When the GL Account Number is for inventories or fixed assets, this field is effective, if not, this field not exist."	0..1
GL DETAILS	UOM CODE	MEASUREMENT UNIT CODE	837	5.GL	B	BIE	Measurement Unit Code	GL Details_ List. Measurement Unit Code. (Component of Quantity)	GL Details 	List		Measurement Unit Code		(Component of Quantity)					The code of the physical measurement scale for inventory and PPE referred to as a unit of measurement (UOM). 	0..1
GL DETAILS	UNIT PRICE	AMOUNT8	838	5.GL	B	BIE	Unit Price	GL Details_ List. Unit Price. Amount	GL Details 	List		Unit Price		Amount					"The per unit price of the inventory or PPE. This field is associated with Quantity and Amount; for example, if the account is inventory or PPE, we can multiply Quantity by Unit Price to get total line Amount."	0..1
GL DETAILS	TRANSACTION AMOUNT		839	5.GL	AS	BIE	Multi Currency Amount	GL Details_ List. Reported. Multi Currency Amount	GL Details 	List		Reported				Multi Currency Amount			The monetary amount recorded in transaction currency.	1..1
GL DETAILS	SETTLEMENT METHOD CODE	IDENTIFIER 60	840	5.GL	RL	BIE	Settlement Method Code	GL Details_ List. Recorded. Settlement Method_ List	GL Details 	List		Recorded					Settlement Method	List	"The code value or indicator of the settlement method used for cash receipt from customers (i.e. sales) and cash payment to suppliers (i.e. purchase); for example, check, wire transfer and cash. "	0..1
GL DETAILS	CREDIT DEBIT INDICATOR	CREDIT DEBIT CODE	841	5.GL	B	BIE	Credit Debit Indicator	GL Details_ List. Credit Debit Indicator. Indicator	GL Details 	List		Credit Debit Indicator		Indicator					Indicates whether the amount is a credit or debit. 'C' = credit; 'D' = debit.	1..1
GL DETAILS	REVERSAL INDICATOR	REVERSAL INDICATOR CODE	842	5.GL	B	BIE	Reversal Indicator	GL Details_ List. Reversal Indicator. indicator	GL Details 	List		Reversal Indicator		indicator					"Indicates whether this entry is a reversal or to be reversed. '1' = entry is a reversal, '2' = entry is being reversed, and empty ('') = none of the above or system generated indicators."	1..1
GL DETAILS	REVERSAL JOURNAL ID	IDENTIFIER 100	843	5.GL	RL	BIE	Reversal Journal ID	GL Details_ List. Reversal. Chart Of Accounts_ Accounting Account	GL Details 	List		Reversal					Chart Of Accounts	Accounting Account	"When the Reversal Indicator Code = 1, this identifies the Journal ID of the entry being reversed."	0..1
GL DETAILS	CANCELLATION SIGN	BOOLEAN	844	5.GL	B	BIE	Cancellation Sign	GL Details_ List. Cancellation Sign. Identifier	GL Details 	List		Cancellation Sign		Identifier					"The sign of cancellation of a journal entry already formed but not yet posted. For example, 0=entry is not cancelled, 1=entry is cancelled."	0..1
GL DETAILS	CREATED	was	845	5.GL	AS	BIE	Created	GL Details_ List. was. Created_ Handling	GL Details 	List		was			Created	Handling			A create handling of this entry	1..1
GL DETAILS	APPROVED	was	846	5.GL	AS	BIE	Approved	GL Details_ List. was. Approved_ Handling	GL Details 	List		was			Approved	Handling			An approved handling of this entry	0..1
GL DETAILS	POSTED	was	847	5.GL	AS	BIE	Posted	GL Details_ List. was. Posted_ Handling	GL Details 	List		was			Posted	Handling			A posted handling of this entry	0..1
GL DETAILS	ACCOUNT SEGMENT	has a	848	5.GL	AS	BIE	Account Segment	GL Details_ List. has an. Account Segment_ List	GL Details 	List		has an			Account Segment 	List			An account segment of this entry	0..1
GL DETAILS	BUSINESS SEGMENT X	TEXT 25	849	5.GL	RL	BIE	Business Segment X	GL Details_ List. X. Business Segment_ List	GL Details 	List		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
GL SOURCE	GENERAL LEDGER SOURCE INFORMATION		850	5.GL	A	BIE	GL Source	GL Source_ List. Detail. 	GL Source 	List		Detail							"Contains additional information about the sources provided in the GL Details table. Each source shall include a description of the ERP system or accounting package, from which the data is extracted, and information relating to the business process the data represents."	
GL SOURCE	SOURCE CODE	IDENTIFIER 25	851	5.GL	ID	BIE	Source Code	GL Source_ List. ID	GL Source 	List		Identification		Identifier					"The code of the posting source (code for source from which the journal entry originated; for example, sales journal, cash receipts journal, general journal, payroll journal, accountant manual entry and spreadsheet). The code shall be a unique indicator for the underlying source."	1..1
GL SOURCE	SOURCE DESCRIPTION	TEXT 1000	852	5.GL	B	BIE	Description	GL Source_ List. Source Description. Text	GL Source 	List		Source Description		Text					A description of the source system.	1..1
GL SOURCE	ERP SUBLEDGER MODULE	TEXT 100	853	5.GL	B	BIE	ERP Subledger Module	GL Source_ List. ERP Subledger Module. Text	GL Source 	List		ERP Subledger Module		Text					"Description of the subledger or ERP module from where the journal entry originated. Should tie back to a system or significant accounting process. In some instances, can be represented by the source system."	0..1
GL SOURCE	SYSTEM MANUAL IDENTIFIER	SYSTEM MANUAL IDENTIFIER	854	5.GL	B	BIE	System Manual Identifier	GL Source_ List. System Manual Identifier. Identifier	GL Source 	List		System Manual Identifier		Identifier					This indicates whether the journal entry is system-generated (S) or manually-entered (M). EXAMPLE S is system-generated and M is manually-entered.	0..1
GL SOURCE	BUSINESS PROCESS MAJOR	TEXT 100	855	5.GL	B	BIE	Business Process Major	GL Source_ List. Business Process Major. Text	GL Source 	List		Business Process Major		Text					"The major class of transaction associated with a business process; for example, sales."	0..1
GL SOURCE	BUSINESS PROCESS MINOR	TEXT 100	856	5.GL	B	BIE	Business Process Minor	GL Source_ List. Business Process Minor. Text	GL Source 	List		Business Process Minor		Text					"A sub-process of the major business process; for example, orders, returns, discounts, etc."	0..1
GL ACCOUNT SEGMENT	GL ACCOUNT SEGMENT		857	5.GL	A	BIE	GL Account Segment	Account Segment_ List. Detail. 	Account Segment 	List		Detail							"The code and name for account segment, as well as the GL Account Number to which the account segment is related.The account segment provides additional information for particular GL Accounts; for example, the accounts receivable contains the information regarding supplier, customer, employee, and project. Such information would be treated as an account segment below A/R, thus resulting in a lengthy account structure. In light of this, the account segment structure is defined as a set to record related information, efficiently avoiding the case that account names and numbers are extended to be too long and too complex. Account segment is more flexible to capture the complicated information. 
Some of the most frequently used account segments, for example, project, employee and bank account, have been defined as fixed fields in tables, such as GL Details. These segments are called fixed account segments in the document. Fixed account segments and other customized account segments are covered in this table."	
			858	5.GL	ID	BIE	GL Account Segment ID	Account Segment_ List. ID	Account Segment 	List		Identification		Identifier						
GL ACCOUNT SEGMENT	GL ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	859	5.GL	RL	BIE	GL Account Number	Account Segment_ List. Identification. Chart Of Accounts_ Accounting Account	Account Segment 	List		Identification					Chart Of Accounts	Accounting Account	The GL account number. This number is generated either by manual input or generated by the system. 	1..1
GL ACCOUNT SEGMENT	ACCOUNT SEGMENT NUMBER	TEXT 60	860	5.GL	B	BIE	Account Segment Number	Account Segment_ List. Account Segment Number. Text	Account Segment 	List		Account Segment Number		Text					"The number of the Account Segment. Case 1 If the value of this field is 0, the record is used to explain a fixed account segment that is distinguished by Account Segment Name of the record. Case 2 If the value of this field is 5, the record is used to explain the No.5 field of Account Segment X, named Account Segment 5 in the tables, such as GL Details. This number is generated either by manual input or by the system."	1..1
GL ACCOUNT SEGMENT	ACCOUNT SEGMENT NAME	IDENTIFIER 200	861	5.GL	B	BIE	Account Segment Name	Account Segment_ List. Account Segment Name. Name	Account Segment 	List		Account Segment Name		Name					"The name of the Account Segment.
Case 1 If the value of Account Segment Number of the record is 0, the field contains the name of a fixed account segment, such as Account Segment Employee.
Case 2 If the value of Account Segment Number of the record is 5, the field value should be the name of a customized account segment, like welfare expenditure."	1..1
GL ACCOUNT SEGMENT	CORRESPONDING FILE	TEXT 200	862	5.GL	B	BIE	Corresponding File	Account Segment_ List. Corresponding File. Text	Account Segment 	List		Corresponding File		Text					"The table corresponding to account segment.
Case 1 If the value of Account Segment Number of the record is 0, the field contains the table name corresponding to the fixed account segment, such as BAS Employee for Account Segment Employee.
Case 2 If the value of Account Segment Number is larger than 0, and no other table besides BAS Customized ACC Segment contains the basic information of the customized account segment, the field value should be BAS Customized ACC Segment.
Case 3 If the value of Account Segment Number is larger than 0, and there is a table contains the basic information of the customized account segment, the field value should be the table's name, such as BAS Customer."	1..1
GL ACCOUNT SEGMENT	ACCOUNT SEGMENT DESCRIPTION	TEXT 1000	863	5.GL	B	BIE	Account Segment Description	Account Segment_ List. Description. Text	Account Segment 	List		Description		Text					The detailed description of the Account Segment Name.	1..1
GL ACCOUNT SEGMENT	CUSTOMIZED ACC SEGMENT CODE	IDENTIFIER 60	864	5.GL	RL	BIE	Customized Account Segment Code	Account Segment_ List. Customized Account Segment Code. Customized Account Segment_ List	Account Segment 	List		Customized Account Segment Code					Customized Account Segment	List	The code of the customized account segment. 	1..1
GL ACCOUNT PERIOD BALANCE	GL ACCOUNT PERIOD BALANCE		865	5.GL	A	BIE	GL Account Period Balance	GL Account Period Balance_ List. Detail. 	GL Account Period Balance	List		Detail							"Contains the cumulative total and balance of accounts in each accounting period, facilitating the calculation of beginning, ending balance, duration amounts and quantity, thus reflecting information and changes in GL more intuitively. In this table, the quantity can serve different regulatory and managerial purposes. For example, subledgers of inventory and PPE may not be covered in some auditees' systems. In this case, we can record the cumulative total and balance of quantity of inventory or PPE in this table. This is a well-established practice in some countries, like France and China. Countries can choose to use GL Trial Balance or GL Accounts Period Balance or both, depending on their customary practice, regulatory and managerial requirements."	
			866	5.GL	ID	BIE	GL Account Period Balance ID	GL Account Period Balance_ List. ID	GL Account Period Balance	List		Identification		Identifier						1..1
GL ACCOUNT PERIOD BALANCE	GL ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	867	5.GL	RL	BIE	GL Account Number	GL Account Period Balance_ List. Recorded. Chart Of Accounts_ Accounting Account	GL Account Period Balance	List		Recorded					Chart Of Accounts	Accounting Account	The GL account number. This number is generated either by manual input or by the system. 	1..1
GL ACCOUNT PERIOD BALANCE	FISCAL YEAR	YEAR IDENTIFIER	868	5.GL	RL	BIE	Fiscal Period	GL Account Period Balance_ List. Recorded. Fiscal Period	GL Account Period Balance	List		Recorded						Fiscal Period	"Fiscal year in which the Effective Date occurs. The year shall be shown in four digits as 'YYYY', which is part of the extended format and the 'YYYYMM-DD' in ISO 8601-1. "	1..1
GL ACCOUNT PERIOD BALANCE	DEBIT QUANTITY	QUANTITY	869	5.GL	B	BIE	Debit Quantity	GL Account Period Balance_ List. Debit Quantity. Quantity	GL Account Period Balance	List		Debit Quantity		Quantity					The quantity information associated with debiting inventory and PPE.	1..1
GL ACCOUNT PERIOD BALANCE	CREDIT QUANTITY	QUANTITY	870	5.GL	B	BIE	Credit Quantity	GL Account Period Balance_ List. Credit Quantity. Quantity	GL Account Period Balance	List		Credit Quantity		Quantity					The quantity information associated with crediting inventory and PPE.	1..1
GL ACCOUNT PERIOD BALANCE	BEGINNING QUANTITY	QUANTITY	871	5.GL	B	BIE	Beginning Quantity	GL Account Period Balance_ List. Beginning Quantity. Quantity	GL Account Period Balance	List		Beginning Quantity		Quantity					The beginning quantity of inventory or PPE account.	1..1
GL ACCOUNT PERIOD BALANCE	ENDING QUANTITY	QUANTITY	872	5.GL	B	BIE	Ending Quantity	GL Account Period Balance_ List. Ending Quantity. Quantity	GL Account Period Balance	List		Ending Quantity		Quantity					The ending quantity of inventory or PPE account.	1..1
GL ACCOUNT PERIOD BALANCE	UOM CODE	MEASUREMENT UNIT CODE	873	5.GL	B	BIE	UOM Code	GL Account Period Balance_ List. Recorded. (Component of Quantity)	GL Account Period Balance	List		Recorded		(Component of Quantity)					The code of the physical measurement scale for inventory and PPE. 	1..1
GL ACCOUNT PERIOD BALANCE	BEGINING BALANCE INDICATOR	CREDIT DEBIT CODE	874	5.GL	B	BIE	Beginning Balance Indicator	GL Account Period Balance_ List. Beginning Credit Debit Indicator. Indicator	GL Account Period Balance	List		Beginning Credit Debit Indicator		Indicator					"The beginning balance direction for the account. Indicates whether beginning balance is debit or credit. For example, C=credit; D=debit."	1..1
GL ACCOUNT PERIOD BALANCE	ENDING BALANCE INDICATOR	CREDIT DEBIT CODE	875	5.GL	B	BIE	Ending Balance Indicator	GL Account Period Balance_ List. Ending Credit Debit Indicator. Indicator	GL Account Period Balance	List		Ending Credit Debit Indicator		Indicator					"The ending balance direction for the account. Indicates whether ending balance is debit or credit. For example, C=credit; D=debit."	1..1
GL ACCOUNT PERIOD BALANCE	DEBIT AMOUNT	has a	876	5.GL	AS	BIE	Debit Amount	GL Account Period Balance_ List. Debit. Multi Currency Amount	GL Account Period Balance	List		Debit				Multi Currency Amount			A monetary amount in multi currency	1..1
GL ACCOUNT PERIOD BALANCE	CREDIT AMOUNT	has a	877	5.GL	AS	BIE	Credit Amount	GL Account Period Balance_ List. Credit. Multi Currency Amount	GL Account Period Balance	List		Credit				Multi Currency Amount			A monetary amount in multi currency	1..1
GL ACCOUNT PERIOD BALANCE	BALANCE BEGINNING AMOUNT	has a	878	5.GL	AS	BIE	Balance Begining Amount	GL Account Period Balance_ List. Beginning. Multi Currency Amount	GL Account Period Balance	List		Beginning				Multi Currency Amount			A monetary amount in multi currency	1..1
GL ACCOUNT PERIOD BALANCE	BALANCE ENDING AMOUNT	has a	879	5.GL	AS	BIE	Balance Ending Amount	GL Account Period Balance_ List. Ending. Multi Currency Amount	GL Account Period Balance	List		Ending				Multi Currency Amount			A monetary amount in multi currency	1..1
GL ACCOUNT PERIOD BALANCE	ACCOUNT SEGMENT	has a	880	5.GL	AS	BIE	Account Segment	GL Account Period Balance_ List. has a. Account Segment_ List	GL Account Period Balance	List		has a			Account Segment 	List			An account segment of this entry	0..1
GL ACCOUNT PERIOD BALANCE	BUSINESS SEGMENT X	TEXT 25	881	5.GL	RL	BIE	Business Segment X	GL Account Period Balance_ List. X. Business Segment_ List	GL Account Period Balance	List		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
AR OPEN ACCOUNT RECEIVABLE	OPEN ACCOUNTS RECEIVABLE		882	6.O2C	A	BIE	Open Accounts Receivable	Open Account Receivable_ Transaction Line. Detail. 	Open Account Receivable	Transaction Line		Detail							"Contains details regarding all open, unpaid, or unresolved customer transactions as of a specified date. Each row in this table represents the balance expected from the customer for one uniquely identifiable transaction. This data should be at the summary level (by invoice), not at the detailed level (by invoice line item). The sum total of the transaction amounts as of the specified date shall reconcile to the total AR amount in the general ledger (GL) as of the same date."	
AR OPEN ACCOUNT RECEIVABLE	TRANSACTION ID	IDENTIFIER 60	883	6.O2C	ID	BIE	Transaction ID	Open Account Receivable_ Transaction Line. ID	Open Account Receivable	Transaction Line		Identification		Identifier					The unique identifier for each transaction of an open AR includes invoice and cash received.	1..1
AR OPEN ACCOUNT RECEIVABLE	INVOICE ID	IDENTIFIER 60	884	6.O2C	RL	BIE	Invoice ID	Open Account Receivable_ Transaction Line. Recorded. Generated_ Invoice	Open Account Receivable	Transaction Line		Recorded					Generated	Invoice	"The reference identifier for each invoice, from which AR is derived. It may not be exitst."	1..1
AR OPEN ACCOUNT RECEIVABLE	CUSTOMER ACCOUNT ID	IDENTIFIER 100	885	6.O2C	RL	BIE	Customer Account ID	Open Account Receivable_ Transaction Line. Recorded. Customer_ Party	Open Account Receivable	Transaction Line		Recorded					Customer	Party	The reference identifier for the customer payment is expected or to whom unused credits have been applied. 	1..1
AR OPEN ACCOUNT RECEIVABLE	SALES CONTRACT ID	IDENTIFIER 60	886	6.O2C	RL	BIE	Sales Contract ID	Open Account Receivable_ Transaction Line. Recorded. Sales_ Contract	Open Account Receivable	Transaction Line		Recorded					Sales	Contract	"The reference identifier for the sales contract, from which AR is derived. Typically autogenerated by the system. It may not be exitst."	0..1
AR OPEN ACCOUNT RECEIVABLE	PROJECT ID	IDENTIFIER 60	887	6.O2C	RL	BIE	Project ID	Open Account Receivable_ Transaction Line. Recorded. Project_ List	Open Account Receivable	Transaction Line		Recorded					Project 	List	"The reference identifier for the project, from which AR is derived. If no transaction related to Project, may not exist."	0..1
AR OPEN ACCOUNT RECEIVABLE	FISCAL YEAR	YEAR IDENTIFIER	888	6.O2C	RL	BIE	Fiscal Period	Open Account Receivable_ Transaction Line. Recorded. Fiscal Period	Open Account Receivable	Transaction Line		Recorded						Fiscal Period	"Fiscal year in which the Transaction Date occurs. The year shall be shown in four digits as 'YYYY', which is part of the extended format and the 'YYYY-MM-DD' in ISO 8601-1. "	0..1
AR OPEN ACCOUNT RECEIVABLE	TRANSACTION DATE	DATE	889	6.O2C	B	BIE	Transaction Date	Open Account Receivable_ Transaction Line. Transaction Date. Date	Open Account Receivable	Transaction Line		Transaction Date		Date					"The date of the transaction, regardless of the date the transaction is created. This is the date from which the due date is calculated based on the invoice terms."	1..1
AR OPEN ACCOUNT RECEIVABLE	JOURNAL ID	IDENTIFIER 100	890	6.O2C	RL	BIE	Journal ID	Open Account Receivable_ Transaction Line. Recorded. GL Detail_ List	Open Account Receivable	Transaction Line		Recorded					GL Detail	List	The reference identifier for each journal entry. 	0..1
AR OPEN ACCOUNT RECEIVABLE	TRANSACTION DUE DATE	DATE	891	6.O2C	B	BIE	Transaction Due Date	Open Account Receivable_ Transaction Line. Transaction Due Date. Date	Open Account Receivable	Transaction Line		Transaction Due Date		Date					"The date payment is due from the customer. Not all transactions will have a due date. If no due date. May not exist, if there is no due date. For example, credit memos. Aging of a receivable is usually calculated based on this date."	1..1
AR OPEN ACCOUNT RECEIVABLE	REFERENCE NUMBER	TEXT 100	892	6.O2C	B	BIE	Reference Number	Open Account Receivable_ Transaction Line. Reference Number. Identifier	Open Account Receivable	Transaction Line		Reference Number		Identifier					"The number of an internally or externally generated transaction; for example, check number, wire transfer number, or original document ID."	0..1
AR OPEN ACCOUNT RECEIVABLE	REFERENCE DATE	DATE	893	6.O2C	B	BIE	Reference Date	Open Account Receivable_ Transaction Line. Reference Date. Date	Open Account Receivable	Transaction Line		Reference Date		Date					"The date on an internally or externally generated transaction; for example, check date or wire transfer date."	0..1
AR OPEN ACCOUNT RECEIVABLE	TRANSACTION AMOUNT	has	894	6.O2C	AS	BIE	Transaction Amount	Open Account Receivable_ Transaction Line. Transaction. Multi Currency Amount	Open Account Receivable	Transaction Line		Transaction				Multi Currency Amount			A monetary amount in multi currency	1..1
AR OPEN ACCOUNT RECEIVABLE	BALANCE AMOUNT	has a	895	6.O2C	AS	BIE	Balance Amount	Open Account Receivable_ Transaction Line. Balance. Multi Currency Amount	Open Account Receivable	Transaction Line		Balance				Multi Currency Amount			A monetary amount in multi currency	1..1
AR OPEN ACCOUNT RECEIVABLE	REMARK	TEXT 500	896	6.O2C	B	BIE	Remark	Open Account Receivable_ Transaction Line. Remark. Text	Open Account Receivable	Transaction Line		Remark		Text					Freeform text description.	0..1
AR OPEN ACCOUNT RECEIVABLE	GROUPING CODE	TEXT 100	897	6.O2C	B	BIE	Grouping Code	Open Account Receivable_ Transaction Line. Grouping Code. Text	Open Account Receivable	Transaction Line		Grouping Code		Text					The code of grouping related items for different purposes.	0..1
AR OPEN ACCOUNT RECEIVABLE	BUSINESS SEGMENT X	TEXT 25	898	6.O2C	RL	BIE	Business Segment X	Open Account Receivable_ Transaction Line. X. Business Segment_ List	Open Account Receivable	Transaction Line		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
AR CASH RECEIVED	CASH RECEIVED		899	6.O2C	A	BIE	Cash Received	Cash Received_ Transaction Line. Detail. 	Cash Received 	Transaction Line		Detail							"Contains information on all payment transactions received during the period. Cash means any type of receipt received including checks, wire transfers and cash."	
AR CASH RECEIVED	RECEIPT ID	IDENTIFIER 60	900	6.O2C	ID	BIE	Cash Received ID	Cash Received_ Transaction Line. ID	Cash Received 	Transaction Line		Identification		Identifier					The unique identifier for each transaction of cash received.	1..1
AR CASH RECEIVED	RECEIPT NUMBER	TEXT 100	901	6.O2C	B	BIE	Number	Cash Received_ Transaction Line. Number. Identifier	Cash Received 	Transaction Line		Number		Identifier					"The number of the cash received, from which AR is derived. This number is generated either by manual input or by the system."	1..1
AR CASH RECEIVED	CUSTOMER ACCOUNT ID	IDENTIFIER 100	902	6.O2C	RL	BIE	Customer Account ID	Cash Received_ Transaction Line. Customer Account ID. Customer_ Party	Cash Received 	Transaction Line		Customer Account ID					Customer	Party	The reference identifier for the customer from whom payment is received or to whom credits have been applied. 	1..1
AR CASH RECEIVED	SALES CONTRACT ID	IDENTIFIER 60	903	6.O2C	RL	BIE	Sales Contract ID	Cash Received_ Transaction Line. Sales Contract ID. Sales_ Contract	Cash Received 	Transaction Line		Sales Contract ID					Sales	Contract	"The reference identifier for the sales contract, from which AR is derived. It may not be exitst."	0..1
AR CASH RECEIVED	PROJECT ID	IDENTIFIER 60	904	6.O2C	RL	BIE	Project ID	Cash Received_ Transaction Line. Project ID. Projevt_ List	Cash Received 	Transaction Line		Project ID					Projevt	List	"The reference identifier for the project, from which AR is derived. It may not be exitst."	0..1
AR CASH RECEIVED	JOURNAL ID	IDENTIFIER 100	905	6.O2C	RL	BIE	Journal ID	Cash Received_ Transaction Line. Journal ID. GL Detail_ List	Cash Received 	Transaction Line		Journal ID					GL Detail	List	The reference identifier for journal entry. 	0..1
AR CASH RECEIVED	FISCAL YEAR	YEAR IDENTIFIER	906	6.O2C	RL	BIE	Fiscal Period	Cash Received_ Transaction Line. Recorded. Fiscal Period	Cash Received 	Transaction Line		Recorded						Fiscal Period	"Fiscal year in which the Receipt Date occurs. The year shall be shown in four digits as 'YYYY', which is part of the extended format and the 'YYYY-MM-DD' in ISO 8601-1. "	0..1
AR CASH RECEIVED	RECEIPT DATE	DATE	907	6.O2C	B	BIE	Receipt Date	Cash Received_ Transaction Line. Receipt Date. Date	Cash Received 	Transaction Line		Receipt Date		Date					"The receipt date of the account receivable by the customer. For example, the received date of check, wire transfer and cash."	1..1
AR CASH RECEIVED	SETTLEMENT METHOD CODE	IDENTIFIER 60	908	6.O2C	RL	BIE	Settlement Method Code	Cash Received_ Transaction Line. Settlement Method Code. Settlement Method_ List	Cash Received 	Transaction Line		Settlement Method Code					Settlement Method	List	"The code value or indicator of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the customer; for example, check, wire transfer and cash. "	1..1
AR CASH RECEIVED	REFERENCE NUMBER	TEXT 100	909	6.O2C	B	BIE	Reference Number	Cash Received_ Transaction Line. Reference Number. Identifier	Cash Received 	Transaction Line		Reference Number		Identifier					"The number of an internally or externally generated transaction; for example, check number, wire transfer number, or original document ID."	1..1
AR CASH RECEIVED	REFERENCE DATE	DATE	910	6.O2C	B	BIE	Reference Date	Cash Received_ Transaction Line. Reference Date. Date	Cash Received 	Transaction Line		Reference Date		Date					"The date on an internally or externally generated transaction; for example, check date or wire transfer date."	1..1
AR CASH RECEIVED	TRANSACTION AMOUNT	has a	911	6.O2C	AS	BIE	Transaction Amount	Cash Received_ Transaction Line. Transaction. Multi Currency Amount	Cash Received 	Transaction Line		Transaction				Multi Currency Amount			The monetary amount recorded in transaction currency.	1..1
AR CASH RECEIVED	AMOUNT CREDIT DEBIT INDICATOR	CREDIT DEBIT CODE	912	6.O2C	B	BIE	Amount Credit Debit Indicator	Cash Received_ Transaction Line. Credit Debit Indicator. Indicator	Cash Received 	Transaction Line		Credit Debit Indicator		Indicator					Indicates whether the amount is a credit or debit. For example C = credit; D= debit.	1..1
AR CASH RECEIVED	REMARK	TEXT 500	913	6.O2C	B	BIE	Remark	Cash Received_ Transaction Line. Remark. Text	Cash Received 	Transaction Line		Remark		Text					Freeform text description.	0..1
AR CASH RECEIVED	GL DEBIT ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	914	6.O2C	RL	BIE	GL Debit Account Number	Cash Received_ Transaction Line. Debit. Chart Of Accounts_ Accounting Account	Cash Received 	Transaction Line		Debit					Chart Of Accounts	Accounting Account	The GL account number on which the debit side of the transaction has been posted. 	1..1
AR CASH RECEIVED	GL CREDIT ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	915	6.O2C	RL	BIE	GL Credit Account Number	Cash Received_ Transaction Line. Credit. Chart Of Accounts_ Accounting Account	Cash Received 	Transaction Line		Credit					Chart Of Accounts	Accounting Account	The GL account number on which the credit side of the transaction has been posted. 	1..1
AR CASH RECEIVED	CREATED	was	916	6.O2C	AS	BIE	Created	Cash Received_ Transaction Line. was. Created_ Handling	Cash Received 	Transaction Line		was			Created	Handling			A create handling of this entry	1..1
AR CASH RECEIVED	APPROVED	was	917	6.O2C	AS	BIE	Approved	Cash Received_ Transaction Line. was. Approved_ Handling	Cash Received 	Transaction Line		was			Approved	Handling			An approved handling of this entry	0..1
AR CASH RECEIVED	LAST MODIFIED	was	918	6.O2C	AS	BIE	Last Modified	Cash Received_ Transaction Line. was. Last Modified_ Handling	Cash Received 	Transaction Line		was			Last Modified	Handling			A last modified handling of this entry	0..1
AR CASH RECEIVED	BUSINESS SEGMENT X	TEXT 25	919	6.O2C	RL	BIE	Business Segment X	Cash Received_ Transaction Line. X. Business Segment_ List	Cash Received 	Transaction Line		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
AR CASH APPLICATION	CASH APPLICATION		920	6.O2C	A	BIE	AR Cash Application	AR Cash Application_ Transaction Line. Detail. 	AR Cash Application 	Transaction Line		Detail							"Contains information of all cash receipts applied against the invoice during the period under review. The file will have one record for each application of cash receipt to an invoice. For example, if a cash receipt was applied to three invoices, there will be three records for that receipt, one for each of the invoices to which the cash was applied. In the context of this process, cash means any type of receipt received including checks and wire transfers and crash."	
AR CASH APPLICATION	AR APPLICATION ID	IDENTIFIER 100	921	6.O2C	ID	BIE	AR Cash Application ID	AR Cash Application_ Transaction Line. ID	AR Cash Application 	Transaction Line		Identification		Identifier					The unique identifier for each application of cash from a receipt to each invoice.Typically auto-generated by the system.	1..1
