Unique UN Assigned ID	 ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC	"Dictionary Entry Name
(auto generated)"	"Definition
Mandatory"	Object Class Term Qualifier(s)	Object Class Term	Property Term	Datatype Qualifier(s)	Representation Term	Occurrence Min	Occurrence Max		
	SC	Code List. Identifier		Logistics Charge Calculation Basis	Code List	Identifier		Identifier	0	1		6131
	SC	Code List. Agency. Identifier		Logistics Charge Calculation Basis	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Logistics Charge Calculation Basis	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Logistics Charge Calculation Basis	Code	Name		Text	0	1		
UN02000099	DT	Logistics Status_ Code. Type	A character string used to represent the logistics status condition or reason.				Logistics Status	Code				
	CC	Code. Content	A character string used to represent the logistics status condition or reason.	Logistics Status	Code				1	1	UNECE_TransportStatusCode_4.TXT	
	SC	Code List. Identifier		Logistics Status	Code List	Identifier		Identifier	0	1		Recommendation 24
	SC	Code List. Agency. Identifier		Logistics Status	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Logistics Status	Code List	Version		Identifier	0	1		4
	SC	Code. Name. Text		Logistics Status	Code	Name		Text	0	1		
UN02000076	DT	Marking Instruction_ Code. Type	A character string used to represent the marking instruction.				Marking Instruction	Code				
	CC	Code. Content	A character string used to represent the marking instruction.	Marking Instruction	Code				1	1	UNECE_MarkingInstructionCode_D19B.TXT	
	SC	Code List. Identifier		Marking Instruction	Code List	Identifier		Identifier	0	1		4233
	SC	Code List. Agency. Identifier		Marking Instruction	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Marking Instruction	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Marking Instruction	Code	Name		Text	0	1		
UN02000042	DT	Measured Attribute_ Code. Type	A character string used to replace or represent a measured attribute.				Measured Attribute	Code				
	CC	Code. Content	A character string used to replace or represent a measured attribute.	Measured Attribute	Code				1	1	UNECE_MeasuredAttributeCode_D19B.TXT	
	SC	Code List. Identifier		Measured Attribute	Code List	Identifier		Identifier	0	1		6313
	SC	Code List. Agency. Identifier		Measured Attribute	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Measured Attribute	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Measured Attribute	Code	Name		Text	0	1		
UN02000125	DT	Message Function_ Code. Type	A character string used to represent a message function.				Message Function	Code				
	CC	Code. Content	A character string used to represent a message function.	Message Function	Code				1	1	UNECE_MessageFunctionTypeCode_D19B.TXT	
	SC	Code List. Identifier		Message Function	Code List	Identifier		Identifier	0	1		1225
	SC	Code List. Agency. Identifier		Message Function	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Message Function	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Message Function	Code List	Uniform Resource		Identifier	0	1		
UN02000117	DT	MIME_ Code. Type	A character string used to represent a type of MIME.				MIME	Code				
	CC	Code. Content	A character string used to represent a type of MIME.	MIME	Code				1	1	MIMEMediaTypeCode	
	SC	Code List. Agency. Identifier		MIME	Code List	Agency		Identifier	0	1		379
	SC	Code List. Name. Text		MIME	Code List	Name		Text	0	1		MIME Media Type
	SC	Code List. Version. Identifier		MIME	Code List	Version		Identifier	0	1		2015/10/12
	SC	Code List. Uniform Resource. Identifier		Message Function	Code List	Uniform Resource		Identifier	0	1		http://www.iana.org/assignments/media-types/media-types.xhtml
UN02000154	DT	Organization Function Type_ Code. Type	A character string used to represent the type of an organization function.				Organization Function Type	Code				
	CC	Code. Content	A character string used to represent the type of an organization function.	Organization Function Type	Code				1	1	EDIFICASEU_OrganizationFunctionType_D11A.TXT	
	SC	Code List. Identifier		Organization Function Type	Code List	Identifier		Identifier	0	1		AccountingE706
	SC	Code List. Agency. Identifier		Organization Function Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Organization Function Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Organization Function Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000043	DT	Package Type_ Code. Type	A character string used to replace or represent a type of package.				Package Type	Code				
	CC	Code. Content	A character string used to replace or represent a type of package.	Package Type	Code				1	1	UNECE_PackageTypeCode_2006.TXT	
	SC	Code List. Identifier		Package Type	Code List	Identifier		Identifier	0	1		7065
	SC	Code List. Agency. Identifier		Package Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Package Type	Code List	Version		Identifier	0	1		2006
	SC	Code. Name. Text		Package Type	Code	Name		Text	0	1		
UN02000078	DT	Packaging Level_ Code. Type	A character string used to represent the packaging level.				Packaging Level	Code				
	CC	Code. Content	A character string used to represent the packaging level.	Packaging Level	Code				1	1	UNECE_PackagingLevelCode_D19B.TXT	
	SC	Code List. Identifier		Packaging Level	Code List	Identifier		Identifier	0	1		7075
	SC	Code List. Agency. Identifier		Packaging Level	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Packaging Level	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Packaging Level	Code	Name		Text	0	1		
UN02000126	DT	Packaging Marking_ Code. Type	A character string used to represent a packaging marking.				Packaging Marking	Code				
	CC	Code. Content	A character string used to represent a packaging marking.	Packaging Marking	Code				1	1	UNECE_PackagingMarkingCode_D19B.TXT	
	SC	Code List. Identifier		Packaging Marking	Code List	Identifier		Identifier	0	1		7233_PackagingMarkingCode
	SC	Code List. Agency. Identifier		Packaging Marking	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Packaging Marking	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Packaging Marking	Code List	Uniform Resource		Identifier	0	1		
UN02000044	DT	Party Role_ Code. Type	A character string used to replace or represent a role of a party.				Party Role	Code				
	CC	Code. Content	A character string used to replace or represent a role of a party.	Party Role	Code				1	1	UNECE_PartyRoleCode_D19B.TXT	
	SC	Code List. Identifier		Party Role	Code List	Identifier		Identifier	0	1		3035
	SC	Code List. Agency. Identifier		Party Role	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Party Role	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Party Role	Code	Name		Text	0	1		
UN02000157	DT	Party Type_ Code. Type	A character string used to represent the type of a party.				Party Type	Code				
	CC	Code. Content	A character string used to represent the type of a party.	Party Type	Code				1	1	EDIFICASEU_PartyType_D11A.TXT	
	SC	Code List. Identifier		Party Type	Code List	Identifier		Identifier	0	1		AccountingE705
	SC	Code List. Agency. Identifier		Party Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Party Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Party Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000009	DT	Payment Guarantee Means_ Code. Type	A character string used to represent a payment guarantee means.				Payment Guarantee Means	Code				
	CC	Code. Content	A character string used to represent a payment guarantee means.	Payment Guarantee Means	Code				1	1	UNECE_PaymentGuaranteeMeansCode_D19B.TXT	
	SC	Code List. Identifier		Payment Guarantee Means	Code List	Identifier		Identifier	0	1		4431
	SC	Code List. Agency. Identifier		Payment Guarantee Means	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Payment Guarantee Means	Code List	Version		Identifier	0	1		D19B
UN02000081	DT	Payment Means Channel_ Code. Type	A character string used to represent the payment means channel.				Payment Means Channel	Code				
	CC	Code. Content	A character string used to represent the payment means channel.	Payment Means Channel	Code				1	1	UNECE_PaymentMeansChannelCode_D19B.TXT	
	SC	Code List. Identifier		Payment Means Channel	Code List	Identifier		Identifier	0	1		4435
	SC	Code List. Agency. Identifier		Payment Means Channel	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Payment Means Channel	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Payment Means Channel	Code	Name		Text	0	1		
UN02000010	DT	Payment Means_ Code. Type	A character string used to represent a payment means.				Payment Means	Code				
	CC	Code. Content	A character string used to represent a payment means.	Payment Means	Code				1	1	UNECE_PaymentMeansCode_D19B.TXT	
	SC	Code List. Identifier		Payment Means	Code List	Identifier		Identifier	0	1		4461
	SC	Code List. Agency. Identifier		Payment Means	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Payment Means	Code List	Version		Identifier	0	1		D19B
UN02000011	DT	Payment Method_ Code. Type	A character string used to represent a payment method.				Payment Method	Code				
	CC	Code. Content	A character string used to represent a payment method.	Payment Method	Code				1	1	UNECE_PaymentMethodCode_D19B.TXT	
	SC	Code List. Identifier		Payment Method	Code List	Identifier		Identifier	0	1		4439
	SC	Code List. Agency. Identifier		Payment Method	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Payment Method	Code List	Version		Identifier	0	1		D19B
UN02000008	DT	Payment Terms Event_ Time Reference_ Code. Type	A character string used to represent a time reference for a payment terms event.				Payment Terms Event_ Time Reference	Code				
	CC	Code. Content	A character string used to represent a time reference for a payment terms event.	Payment Terms Event_ Time Reference	Code				1	1	UNECE_PaymentTermsEventTimeReferenceCode_D19B.TXT	
	SC	Code List. Identifier		Payment Terms Event_ Time Reference	Code List	Identifier		Identifier	0	1		2475_Payment Terms Event
	SC	Code List. Agency. Identifier		Payment Terms Event_ Time Reference	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Payment Terms Event_ Time Reference	Code List	Version		Identifier	0	1		D19B
UN02000083	DT	Payment Terms Type_ Code. Type	A character string used to represent the payment terms type.				Payment Terms Type	Code				
	CC	Code. Content	A character string used to represent the payment terms type.	Payment Terms Type	Code				1	1	UNECE_PaymentTermsTypeCode_D19B.TXT	
	SC	Code List. Identifier		Payment Terms Type	Code List	Identifier		Identifier	0	1		4279
	SC	Code List. Agency. Identifier		Payment Terms Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Payment Terms Type	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Payment Terms Type	Code	Name		Text	0	1		
UN02000012	DT	Payment Terms_ Identifier. Type	A character string used to represent a payment terms.				Payment Terms	Identifier				
	CC	Identifier. Content	A character string used to represent a payment terms.	Payment Terms	Identifier				1	1	UNECE_PaymentTermsDescriptionIdentifier_D19B.TXT	
	SC	Identification Scheme. Identifier		Payment Terms	Identification Scheme	Identifier		Identifier	0	1		4277
	SC	Identification Scheme Agency. Identifier		Payment Terms	Identification Scheme Agency	Identifier		Identifier	0	1		6
	SC	Identification Scheme. Version. Identifier		Payment Terms	Identification Scheme	Version		Identifier	0	1		D19B
UN02000114	DT	Planning Level_ Code. Type	A character string used to represent or replace a planning level.				Planning Level	Code				
	CC	Code. Content	A character string used to represent or replace a planning level.	Planning Level	Code				1	1	UNECE_PlanningLevelCode_D10B.TXT	
	SC	Code List. Identifier		Planning Level	Code List	Identifier		Identifier	0	1		PlanningLevel
	SC	Code List. Agency. Identifier		Planning Level	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Planning Level	Code List	Version		Identifier	0	1		D10B
UN02000013	DT	Price Type_ Code. Type	A character string used to represent or replace a type of price.				Price Type	Code				
	CC	Code. Content	A character string used to represent or replace a type of price.	Price Type	Code				1	1	UNECE_PriceTypeCode_D19B.TXT	
	SC	Code List. Identifier		Price Type	Code List	Identifier		Identifier	0	1		5375
	SC	Code List. Agency. Identifier		Price Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Price Type	Code List	Version		Identifier	0	1		D19B
UN02000127	DT	Priority Description_ Code. Type	A character string used to represent a priority.				Priority Description	Code				
	CC	Code. Content	A character string used to represent a priority.	Priority Description	Code				1	1	UNECE_PriorityDescriptionCode_D19B.TXT	
	SC	Code List. Identifier		Priority Description	Code List	Identifier		Identifier	0	1		4037
	SC	Code List. Agency. Identifier		Priority Description	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Priority Description	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Priority Description	Code List	Uniform Resource		Identifier	0	1		
UN02000045	DT	Process Type_ Code. Type	A character string used to replace or represent a type of process.				Process Type	Code				
	CC	Code. Content	A character string used to replace or represent a type of process.	Process Type	Code				1	1	UNECE_ProcessTypeCode_D19B.TXT	
	SC	Code List. Identifier		Process Type	Code List	Identifier		Identifier	0	1		7187
	SC	Code List. Agency. Identifier		Process Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Process Type	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Process Type	Code	Name		Text	0	1		
UN02000032	DT	Project Type_ Code. Type	A character string used to replace or represent a type of project.				Project Type	Code				
	CC	Code. Content	A character string used to replace or represent a type of project.	Project Type	Code				1	1	UNECE_ProjectTypeCode_D10B.TXT	
	SC	Code List. Identifier		Project Type	Code List	Identifier		Identifier	0	1		9665
	SC	Code List. Agency. Identifier		Project Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Project Type	Code List	Version		Identifier	0	1		D10B
UN02000128	DT	Quotation_ Document_ Code. Type	A character string used to represent a quotation document type.				Quotation_ Document	Code				
	CC	Code. Content	A character string used to represent a quotation document type.	Quotation_ Document	Code				1	1	UNECE_DocumentTypeCode_Quotation_D19B.TXT	
	SC	Code List. Identifier		Quotation_ Document	Code List	Identifier		Identifier	0	1		1001_Quotation
	SC	Code List. Agency. Identifier		Quotation_ Document	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Quotation_ Document	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Quotation_ Document	Code List	Uniform Resource		Identifier	0	1		
UN02000048	DT	Reference_ Code. Type	A character string used to represent a reference.				Reference	Code				
	CC	Code. Content	A character string used to represent a reference.	Reference	Code				1	1	UNECE_ReferenceTypeCode_D19B.TXT	
	SC	Code List. Identifier		Reference	Code List	Identifier		Identifier	0	1		1153
	SC	Code List. Agency. Identifier		Reference	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Reference	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Reference	Code	Name		Text	0	1		
UN02000136	DT	Refund Method_ Code. Type	A character string used to represent the type of a refund method.				Refund Method	Code				
	CC	Code. Content	A character string used to represent the type of a refund method.	Refund Method	Code				1	1	EDIFICASEU_RefundMethod_D11A.TXT	
	SC	Code List. Identifier		Refund Method	Code List	Identifier		Identifier	0	1		AccountingE022
	SC	Code List. Agency. Identifier		Refund Method	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Refund Method	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Refund Method	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000130	DT	Remittance_ Document_ Code. Type	A character string used to represent a remittance document type.				Remittance_ Document	Code				
	CC	Code. Content	A character string used to represent a remittance document type.	Remittance_ Document	Code				1	1	UNECE_DocumentNameCode_Remittance_D19B.TXT	
	SC	Code List. Identifier		Remittance_ Document	Code List	Identifier		Identifier	0	1		1001_Remittance
	SC	Code List. Agency. Identifier		Remittance_ Document	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Remittance_ Document	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Remittance_ Document	Code List	Uniform Resource		Identifier	0	1		
UN02000033	DT	Reporting Threshold Trigger Type_ Code. Type	A character string used to represent or replace a type of trigger for a reporting threshold.				Reporting Threshold Trigger Type	Code				
	CC	Code. Content	A character string used to represent or replace a type of trigger for a reporting threshold.	Reporting Threshold Trigger Type	Code				1	1	UNECE_ReportingThresholdTriggerType_D10B.TXT	
	SC	Code List. Identifier		Reporting Threshold Trigger Type	Code List	Identifier		Identifier	0	1		9667
	SC	Code List. Agency. Identifier		Reporting Threshold Trigger Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Reporting Threshold Trigger Type	Code List	Version		Identifier	0	1		D10B
UN02000034	DT	Resource Cost Category_ Code. Type	A character string used to represent or replace a cost category for a resource.				Resource Cost Category	Code				
	CC	Code. Content	A character string used to represent or replace a cost category for a resource.	Resource Cost Category	Code				1	1	UNECE_ResourceCostCategory_D10B.TXT	
	SC	Code List. Identifier		Resource Cost Category	Code List	Identifier		Identifier	0	1		9669
	SC	Code List. Agency. Identifier		Resource Cost Category	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Resource Cost Category	Code List	Version		Identifier	0	1		D10B
UN02000035	DT	Resource Plan Measure Type_ Code. Type	A character string used to represent or replace the type of resource plan measure.				Resource Plan Measure Type	Code				
	CC	Code. Content	A character string used to represent or replace the type of resource plan measure.	Resource Plan Measure Type	Code				1	1	UNECE_ResourcePlanMeasureType_D10B.TXT	
	SC	Code List. Identifier		Resource Plan Measure Type	Code List	Identifier		Identifier	0	1		9671
	SC	Code List. Agency. Identifier		Resource Plan Measure Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Resource Plan Measure Type	Code List	Version		Identifier	0	1		D10B
UN02000131	DT	Response Type_ Code. Type	A character string used to represent a response type.				Response Type	Code				
	CC	Code. Content	A character string used to represent a response type.	Response Type	Code				1	1	UNECE_ResponseTypeCode_D19B.TXT	
	SC	Code List. Identifier		Response Type	Code List	Identifier		Identifier	0	1		4343
	SC	Code List. Agency. Identifier		Response Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Response Type	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Response Type	Code List	Uniform Resource		Identifier	0	1		
UN02000145	DT	Responsible Government Agency Involvement_ Code. Type	A character string used to represent a responsible government agency involvement.				Responsible Government Agency Involvement	Code				
	CC	Code. Content	A character string used to represent a responsible government agency involvement.	Responsible Government Agency Involvement	Code				1	1	UNECE_ResponsibleAgencyInvolvementCode_D19B.TXT	
	SC	Code List. Identifier		Responsible Government Agency Involvement	Code List	Identifier		Identifier	0	1		9411
	SC	Code List. Agency. Identifier		Responsible Government Agency Involvement	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Responsible Government Agency Involvement	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Responsible Government Agency Involvement	Code	Name		Text	0	1		
UN02000146	DT	Responsible Government Agency_ Code. Type	A character string used to represent a responsible government agency.				Responsible Government Agency	Code				
	CC	Code. Content	A character string used to represent a responsible government agency.	Responsible Government Agency	Code				1	1	UNECE_ResponsibleAgencyCode_D19B.TXT	
	SC	Code List. Identifier		Responsible Government Agency	Code List	Identifier		Identifier	0	1		9415
	SC	Code List. Agency. Identifier		Responsible Government Agency	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Responsible Government Agency	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Responsible Government Agency	Code	Name		Text	0	1		
UN02000159	DT	Scenario Type_ Code. Type	A character string used to represent the type of scenario.				Scenario Type	Code				
	CC	Code. Content	A character string used to represent the type of scenario.	Scenario Type	Code				1	1	EDIFICASEU_ScenarioType_D11A.TXT	
	SC	Code List. Identifier		Scenario Type	Code List	Identifier		Identifier	0	1		AccountingE018
	SC	Code List. Agency. Identifier		Scenario Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Scenario Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Scenario Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000036	DT	Schedule Task Relationship Type_ Code. Type	A character string used to represent or replace a type of relationship between schedule tasks.				Schedule Task Relationship Type	Code				
	CC	Code. Content	A character string used to represent or replace a type of relationship between schedule tasks.	Schedule Task Relationship Type	Code				1	1	UNECE_ScheduleTaskRelationshipType_D10B.TXT	
	SC	Code List. Identifier		Schedule Task Relationship Type	Code List	Identifier		Identifier	0	1		9673
	SC	Code List. Agency. Identifier		Schedule Task Relationship Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Schedule Task Relationship Type	Code List	Version		Identifier	0	1		D10B
UN02000037	DT	Schedule Task Type_ Code. Type	A character string used to represent or replace a type of schedule task.				Schedule Task Type	Code				
	CC	Code. Content	A character string used to represent or replace a type of schedule task.	Schedule Task Type	Code				1	1	UNECE_ScheduleTaskType_D10B.TXT	
	SC	Code List. Identifier		Schedule Task Type	Code List	Identifier		Identifier	0	1		9675
	SC	Code List. Agency. Identifier		Schedule Task Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Schedule Task Type	Code List	Version		Identifier	0	1		D10B
UN02000115	DT	Schedule Type_ Code. Type	A character string used to represent or replace a type of schedule.				Schedule Type	Code				
	CC	Code. Content	A character string used to represent or replace a type of schedule.	Schedule Type	Code				1	1	UNECE_ScheduleTypeCode_D10B.TXT	
	SC	Code List. Identifier		Schedule Type	Code List	Identifier		Identifier	0	1		ScheduleType
	SC	Code List. Agency. Identifier		Schedule Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Schedule Type	Code List	Version		Identifier	0	1		D10B
UN02000132	DT	Scheduling_ Document_ Code. Type	A character string used to represent a scheduling document type.				Scheduling_ Document	Code				
	CC	Code. Content	A character string used to represent a scheduling document type.	Scheduling_ Document	Code				1	1	UNECE_DocumentTypeCode_Scheduling_D19B.TXT	
	SC	Code List. Identifier		Scheduling_ Document	Code List	Identifier		Identifier	0	1		1001_Scheduling
	SC	Code List. Agency. Identifier		Scheduling_ Document	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Scheduling_ Document	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Scheduling_ Document	Code List	Uniform Resource		Identifier	0	1		
UN02000084	DT	Seal Condition_ Code. Type	A character string used to represent the seal condition.				Seal Condition	Code				
	CC	Code. Content	A character string used to represent the seal condition.	Seal Condition	Code				1	1	UNECE_SealConditionCode_D19B.TXT	
	SC	Code List. Identifier		Seal Condition	Code List	Identifier		Identifier	0	1		4517
	SC	Code List. Agency. Identifier		Seal Condition	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Seal Condition	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Seal Condition	Code	Name		Text	0	1		
UN02000060	DT	Seal Type_ Code. Type	A character string used to represent a type of seal.				Seal Type	Code				
	CC	Code. Content	A character string used to represent a type of seal.	Seal Type	Code				1	1	UNECE_SealTypeCode_D19B.TXT	
	SC	Code List. Identifier		Seal Type	Code List	Identifier		Identifier	0	1		Seal Type Code
	SC	Code List. Agency. Identifier		Seal Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Seal Type	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Seal Type	Code	Name		Text	0	1		
UN02000085	DT	Sealing Party Role_ Code. Type	A character string used to represent the sealing party role.				Sealing Party Role	Code				
	CC	Code. Content	A character string used to represent the sealing party role.	Sealing Party Role	Code				1	1	UNECE_SealingPartyRoleCode_D19B.TXT	
	SC	Code List. Identifier		Sealing Party Role	Code List	Identifier		Identifier	0	1		9303
	SC	Code List. Agency. Identifier		Sealing Party Role	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Sealing Party Role	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Sealing Party Role	Code	Name		Text	0	1		
UN02000038	DT	Security Classification Type_ Code. Type	A character string used to replace or represent a security classification.				Security Classification Type	Code				
	CC	Code. Content	A character string used to replace or represent a security classification.	Security Classification Type	Code				1	1	UNECE_SecurityClassificationType_D10B.TXT	
	SC	Code List. Identifier		Security Classification Type	Code List	Identifier		Identifier	0	1		9677
	SC	Code List. Agency. Identifier		Security Classification Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Security Classification Type	Code List	Version		Identifier	0	1		D10B
UN02000170	DT	Software User Type_ Code. Type	A character string used to represent the type of software user.				Software User Type	Code				
	CC	Code. Content	A character string used to represent the type of software user.	Software User Type	Code				1	1	EDIFICASEU_SoftwareUserType_D11A.TXT	
	SC	Code List. Identifier		Software User Type	Code List	Identifier		Identifier	0	1		AccountingE019
	SC	Code List. Agency. Identifier		Software User Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Software User Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Software User Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000047	DT	Status_ Code. Type	A character string used to represent a status.				Status	Code				
	CC	Code. Content	A character string used to represent a status.	Status	Code				1	1	UNECE_StatusCode_D19B.TXT	
	SC	Code List. Identifier		Status	Code List	Identifier		Identifier	0	1		4405
	SC	Code List. Agency. Identifier		Status	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Status	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Status	Code	Name		Text	0	1		
	SC	Code List. Uniform Resource. Identifier		Status	Code List	Uniform Resource		Identifier	0	1		
UN02000133	DT	Subject_ Code. Type	A character string used to represent a subject code.				Subject	Code				
	CC	Code. Content	A character string used to represent a subject code.	Subject	Code				1	1	UNECE_SubjectCode_D19B.TXT	
	SC	Code List. Identifier		Subject	Code List	Identifier		Identifier	0	1		4451
	SC	Code List. Agency. Identifier		Subject	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Subject	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Subject	Code List	Uniform Resource		Identifier	0	1		
UN02000014	DT	Tax Category_ Code. Type	A character string used to represent a duty or tax category.				Tax Category	Code				
	CC	Code. Content	A character string used to represent a duty or tax category.	Tax Category	Code				1	1	UNECE_DutyorTaxorFeeCategoryCode_D19B.TXT	
	SC	Code List. Identifier		Tax Category	Code List	Identifier		Identifier	0	1		5305
	SC	Code List. Agency. Identifier		Tax Category	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Tax Category	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Tax Category	Code List	Uniform Resource		Identifier	0	1		
UN02000108	DT	Tax Exemption Reason_ Code. Type	A character string used to represent or replace a reason for tax exemption.				Tax Exemption Reason	Code				
	CC	Code. Content	A character string used to represent or replace a reason for tax exemption.	Tax Exemption Reason	Code				1	1	EDIFICASEU_TaxExemptionReason_D11A.TXT	
	SC	Code List. Identifier		Tax Exemption Reason	Code List	Identifier		Identifier	0	1		AccountingE307
	SC	Code List. Agency. Identifier		Tax Exemption Reason	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Tax Exemption Reason	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Tax Exemption Reason	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000015	DT	Tax Type_ Code. Type	A character string used to represent or replace a tax type.				Tax Type	Code				
	CC	Code. Content	A character string used to represent or replace a tax type.	Tax Type	Code				1	1	UNECE_DutyTaxFeeTypeCode_D19B.TXT	
	SC	Code List. Identifier		Tax Type	Code List	Identifier		Identifier	0	1		5153
	SC	Code List. Agency. Identifier		Tax Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Tax Type	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Tax Type	Code List	Uniform Resource		Identifier	0	1		
UN02000046	DT	Temperature Type_ Code. Type	A character string used to replace or represent a type of temperature.				Temperature Type	Code				
