,kind,level,name,Card,,ObjectClassTerm,,PropertyTerm,,RepresentationTerm,,AssociatedObject Class,@type,refpath,@desc
403,BBIE,2,ProductDescription,0..1,,InvoiceStructure_Line,,ProductDescription,,Text,,,SAFlongtextType,,Description of goods or services.
404,ASBIE,2,Delivery,0..1,,InvoiceStructure_Line,,Associated,,,,Delivery,,,Information about the date or timeframe of the delivery of the goods or services.
405,ABIE,2,Delivery,0..1,,Delivery,,Details,,,,,,,Information about the date or timeframe of the delivery of the goods or services.
406,ASBIE,3,choice_MovementReference/DeliveryDate/DeliveryPeriod,1..1,,Delivery,,Associated,,,,choice_MovementReference/DeliveryDate/DeliveryPeriod,,,
407,ABIE,3,choice MovementReference/DeliveryDate/DeliveryPeriod,1..1,,choice_MovementReference/DeliveryDate/DeliveryPeriod,,Details,,,,,,,
408,BBIE,4,MovementReference,1..*,,choice_MovementReference/DeliveryDate/DeliveryPeriod,,MovementReference,,Text,,,SAFmiddle1textType,,Unique reference to the movement.
409,BBIE,4,DeliveryDate,1..1,,choice_MovementReference/DeliveryDate/DeliveryPeriod,,DeliveryDate,,Date,,,date,,The date of the delivery
410,ASBIE,3,DeliveryPeriod,1..1,,Delivery,,Associated,,,,DeliveryPeriod,,,Timeframe of the deliveries
411,ABIE,3,DeliveryPeriod,1..1,,DeliveryPeriod,,Details,,,,,,,Timeframe of the deliveries
412,BBIE,4,FromDate,1..1,,DeliveryPeriod,,FromDate,,Date,,,date,,Startdate of the deliveries
413,BBIE,4,ToDate,1..1,,DeliveryPeriod,,ToDate,,Date,,,date,,Enddate of the deliveries
414,BBIE,2,Quantity,0..1,,InvoiceStructure_Line,,Quantity,,Quantity,,,SAFquantityType,,Quantity of goods and services supplied.
415,BBIE,2,InvoiceUOM,0..1,,InvoiceStructure_Line,,InvoiceUOM,,Code,,,SAFcodeType,,Quantity unit of measure e.g. pack of 12
416,BBIE,2,UOMToUOMBaseConversionFactor,0..1,,InvoiceStructure_Line,,UOMToUOMBaseConversionFactor,,Numeric,,,decimal,,Conversion factor of the InvoiceUOM to UOM Base. Only needed when InvoiceUOM is reported and is different from the UOM Base.
417,BBIE,2,UnitPrice,1..1,,InvoiceStructure_Line,,UnitPrice,,Monetary,,,SAFmonetaryType,,Unit price for the unit/group of units per UOM in the header's default currency.
418,BBIE,2,TaxPointDate,1..1,,InvoiceStructure_Line,,TaxPointDate,,Date,,,date,,Tax Point date where recorded or if not recorded then the Invoice date
419,ASBIE,2,References,0..1,,InvoiceStructure_Line,,Associated,,,,References,,,Credit Note references
420,ABIE,2,References,0..1,,References,,Details,,,,,,,Credit Note references
421,ASBIE,3,CreditNote,0..1,,References,,Associated,,,,CreditNote,,,
422,ABIE,3,CreditNote,0..1,,CreditNote,,Details,,,,,,,
423,BBIE,4,Reference,0..1,,CreditNote,,Reference,,Text,,,SAFmiddle1textType,,Credit note reference (where applicable) to original invoice
424,BBIE,4,Reason,0..1,,CreditNote,,Reason,,Text,,,SAFlongtextType,,Credit note reason or rationale
425,BBIE,2,Description,1..1,,InvoiceStructure_Line,,Description,,Text,,,SAFlongtextType,,Description of Invoice Line.
426,ASBIE,2,InvoiceLineAmount,1..1,,InvoiceStructure_Line,,Associated,,,,AmountStructure,AmountStructure,,Amount for transaction excluding taxes and freightcharges.
427,BBIE,2,DebitCreditIndicator,1..1,,InvoiceStructure_Line,,DebitCreditIndicator,,,,,,,Indicates whether the amounts on line-level are debit or credit amounts. Entry must correspond to entry reflected in General Ledger Entry. Signing of lineamounts is relative to this indicator. E.g. a return can lead to a negative amount.
428,ASBIE,2,ShippingCostsAmount,0..1,,InvoiceStructure_Line,,Associated,,,,AmountStructure,AmountStructure,,Amount for shipping/freight charges.
429,ASBIE,2,TaxInformation,0..*,,InvoiceStructure_Line,,Associated,,,,TaxInformationStructure,TaxInformationStructure,,
430,ASBIE,1,Settlement,0..1,,InvoiceStructure_Line,,Associated,,,,Settlement,,,
431,ABIE,1,Settlement,0..1,,Settlement,,Details,,,,,,,
432,BBIE,2,SettlementDiscount,0..1,,Settlement,,SettlementDiscount,,Text,,,SAFmiddle1textType,,Description Settlement / Other Discount
433,ASBIE,2,SettlementAmount,1..1,,Settlement,,Associated,,,,AmountStructure,AmountStructure,,Settlement amount
434,BBIE,2,SettlementDate,0..1,,Settlement,,SettlementDate,,Date,,,date,,Date settled
435,BBIE,2,PaymentMechanism,0..1,,Settlement,,PaymentMechanism,,Code,,,SAFcodeType,,Payment mechanism
436,ASBIE,1,DocumentTotals,0..1,,InvoiceStructure_Line,,Associated,,,,DocumentTotals,,,
437,ABIE,1,DocumentTotals,0..1,,DocumentTotals,,Details,,,,,,,
438,ASBIE,2,TaxInformationTotals,0..*,,DocumentTotals,,Associated,,,,TaxInformationStructure,TaxInformationStructure,,Control totals tax payable information. Per TaxType/TaxCode the TaxBase and TaxAmount are summarised.
439,BBIE,2,ShippingCostsAmountTotal,0..1,,DocumentTotals,,ShippingCostsAmountTotal,,Monetary,,,SAFmonetaryType,,Control total amount freight charges
440,BBIE,2,NetTotal,1..1,,DocumentTotals,,NetTotal,,Monetary,,,SAFmonetaryType,,Control total sales value excluding tax and shippingcosts.
441,BBIE,2,GrossTotal,1..1,,DocumentTotals,,GrossTotal,,Monetary,,,SAFmonetaryType,,Control total amount including tax and shippingcosts.
442,ACC,,ShippingPointStructure,1..1,,ShippingPointStructure,,Details,,,,,,,A structure that holds all shipping point information.
443,BCC,1,DeliveryID,0..1,,ShippingPointStructure,,DeliveryID,,Text,,,SAFmiddle1textType,,Identification of the delivery
444,BCC,1,DeliveryDate,0..1,,ShippingPointStructure,,DeliveryDate,,Date,,,date,,Date goods are delivered
445,BCC,1,WarehouseID,0..1,,ShippingPointStructure,,WarehouseID,,Text,,,SAFmiddle1textType,,"Warehouse where goods held - also to identify work-in-progress, or stock-in-transit"
446,BCC,1,LocationID,0..1,,ShippingPointStructure,,LocationID,,Code,,,SAFshorttextType,,Location of goods in warehouse
447,BCC,1,UCR,0..1,,ShippingPointStructure,,UCR,,Text,,,SAFmiddle1textType,,Unique consignment reference number
448,ASCC,1,Address,0..1,,ShippingPointStructure,,Associated,,,,AddressStructure,AddressStructure,,
449,ACC,,AddressStructure,1..1,,AddressStructure,,Details,,,,,,,[Common to all SAFs] A common structure used wherever an address is required.
450,BCC,1,StreetName,0..1,,AddressStructure,,StreetName,,Text,,,SAFmiddle2textType,,
451,BCC,1,Number,0..1,,AddressStructure,,Number,,Code,,,SAFshorttextType,,
452,BCC,1,AdditionalAddressDetail,0..1,,AddressStructure,,AdditionalAddressDetail,,Text,,,SAFmiddle2textType,,
453,BCC,1,Building,0..1,,AddressStructure,,Building,,Text,,,SAFmiddle1textType,,
454,BCC,1,City,1..1,,AddressStructure,,City,,Text,,,SAFmiddle1textType,,
455,BCC,1,PostalCode,1..1,,AddressStructure,,PostalCode,,Code,,,SAFshorttextType,,
456,BCC,1,Region,0..1,,AddressStructure,,Region,,Text,,,SAFmiddle1textType,,Country specific code to indicate regions / provinces within the tax authority. Preferably described according to ISO 3166-2. Example: GB-KEN for Kent county in the United Kingdom.
457,BCC,1,Country,0..1,,AddressStructure,,Country,,Code,,,ISOCountryCode,,Two-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands.
458,BCC,1,AddressType,0..1,,AddressStructure,,AddressType,,,,,,,"Field to differentiate between multiple addresses. To indicate the type of address. Choose  from the predefined enumeration. (examples: StreetAddress PostalAddress, BillingAddress)"
459,ACC,,AmountStructure,1..1,,AmountStructure,,Details,,,,,,,[Common to all SAFs] A common structure used wherever an amount is required. Monetary amount with optional foreign currency exchange rate information.
460,BCC,1,Amount,1..1,,AmountStructure,,Amount,,Monetary,,,SAFmonetaryType,,In the header's default currency.
461,ASCC,1,sequence_Amount,0..1,,AmountStructure,,Associated,,,,sequence_Amount,sequence_Amount,,
462,ABIE,1,sequence_Amount,0..1,,sequence_Amount,,Details,,,,,,,
463,BCC,2,CurrencyCode,1..1,,sequence_Amount,,CurrencyCode,,Code,,,ISOCurrencyCode,,Three-letter currency code according to ISO 4217 standard. Example: EUR for the Euros or USD for American Dollars.
464,BCC,2,CurrencyAmount,1..1,,sequence_Amount,,CurrencyAmount,,Monetary,,,SAFmonetaryType,,Amount in foreign currency.
465,BCC,2,ExchangeRate,0..1,,sequence_Amount,,ExchangeRate,,,,,SAFexchangerateType,,The exchange rate used. CurrencyAmount x ExchangeRate = Amount
466,ACC,,AnalysisStructure,1..1,,AnalysisStructure,,Details,,,,,,,General Ledger analysis codes
467,BCC,1,AnalysisType,1..1,,AnalysisStructure,,AnalysisType,,Code,,,SAFcodeType,,"Analysis code identifier: cost center, cost unit, cost type, project, etc. Refers to the MasterFile AnalysisTypeTable"
468,BCC,1,AnalysisID,1..1,,AnalysisStructure,,AnalysisID,,Text,,,SAFlongtextType,,Value of the analysisID: f.i. which cost center applies
469,BCC,1,AnalysisAmount,0..1,,AnalysisStructure,,AnalysisAmount,,,,,AmountStructure,,Amount applying to the Analysis: f.i. the amount applying for this cost center
470,ACC,,BankAccountStructure,1..1,,BankAccountStructure,,Details,,,,,,,"[Common to all SAFs] Bank account number information. IBAN number, or account number with optional information."
471,ASCC,1,choice_IBANNumber/sequence,1..1,,BankAccountStructure,,Associated,,,,choice_IBANNumber/sequence,,,
472,ACC,1,choice_IBANNumber/sequence,1..1,,choice_IBANNumber/sequence,,Details,,,,,,,
473,BCC,2,IBANNumber,1..1,,choice_IBANNumber/sequence,,IBANNumber,,Text,,,SAFmiddle1textType,,"International Bank Account Number, ISO 13616"
474,ASCC,2,BankAccountNumber,,,choice_IBANNumber/sequence,,Associated,,,,BankAccountNumber,,,
475,BCC,3,BankAccountName,1..1,,BankAccountStructure,,BankAccountName,,Text,,,SAFmiddle1textType,,The number allocated to the account by the individual’s or company’s own bank.
476,BCC,3,SortCode,0..1,,BankAccountStructure,,SortCode,,Text,,,SAFmiddle2textType,,The name of the individual or company holding the bank account.
477,BCC,3,CompanyHeaderStructure,0..1,,BankAccountStructure,,CompanyHeaderStructure,,Code,,,SAFshorttextType,,Identifier for the bank branch at which the account is held. May be needed to uniquely identify the account.
478,ACC,,CompanyStructure,1..1,,CompanyStructure,,Details,,,,,,,[Common to all SAFs] CompanyStructure with mandatory RegistrationNumber and Telephone (Contact)
479,BCC,2,RegistrationNumber,0..1,,CompanyStructure,,RegistrationNumber,,Text,,,SAFmiddle1textType,,"Unique number to identify the company in the accounting records, issued by a government authority or created by the company for internal purposes to identify different entities within their corporate group."
480,BCC,2,Name,1..1,,CompanyStructure,,Name,,Text,,,SAFmiddle2textType,,
481,ASCC,2,Address,1..*,,CompanyStructure,,Associated,,,,AddressStructure,AddressStructure,,
482,ASCC,2,Contact,0..*,,CompanyStructure,,Associated,,,,ContactInformationStructure,ContactInformationStructure,,
483,ASCC,2,TaxRegistration,0..*,,CompanyStructure,,Associated,,,,TaxIDStructure,TaxIDStructure,,
484,ASCC,2,BankAccount,0..*,,CompanyStructure,,Associated,,,,BankAccountStructure,BankAccountStructure,,
485,ACC,,CompanyHeaderStructure,,,CompanyHeaderStructure,,Details,,,,,,,[Common to all SAFs] CompanyStructure with mandatory RegistrationNumber and Telephone (Contact)
486,BCC,1,RegistrationNumber,1..1,,CompanyHeaderStructure,,RegistrationNumber,,Text,,,SAFmiddle1textType,,"Unique number to identify the company in the accounting records, issued by a government body or created by the company for internal purposes to identify different entities within their corporate group."
487,BCC,1,Name,1..1,,CompanyHeaderStructure,,Name,,Text,,,SAFmiddle2textType,,
488,ASCC,1,Address,1..*,,CompanyHeaderStructure,,Associated,,,,AddressStructure,AddressStructure,,
489,ASCC,1,Contact,1..*,,CompanyHeaderStructure,,Associated,,,,ContactInformationStructure,ContactInformationStructure,,
490,ASCC,1,TaxRegistration,0..*,,CompanyHeaderStructure,,Associated,,,,TaxIDStructure,TaxIDStructure,,
491,ASCC,1,BankAccount,0..*,,CompanyHeaderStructure,,Associated,,,,BankAccountStructure,BankAccountStructure,,
492,ACC,,CompanyStructure,,,CompanyStructure,,Details,,,,,,,"[Common to all SAFs] Name, address, contact and identification information of a company."
493,BCC,1,Name,1..1,,CompanyStructure,,Name,,Text,,,SAFmiddle2textType,,
494,ASCC,1,Address,1..*,,CompanyStructure,,Associated,,,,AddressStructure,AddressStructure,,
495,ASCC,1,Contact,1..*,,CompanyStructure,,Associated,,,,ContactInformationStructure,ContactInformationStructure,,
496,ASCC,1,TaxRegistration,0..*,,CompanyStructure,,Associated,,,,TaxIDStructure,TaxIDStructure,,
497,ASCC,1,BankAccount,0..*,,CompanyStructure,,Associated,,,,BankAccountStructure,BankAccountStructure,,
498,ACC,,ContactHeaderStructure,0..*,,ContactHeaderStructure,,Details,,,,,,,[Common to all SAFs] ContactInformationStructure with madatory TelephoneNumber
499,ASCC,1,ContactPerson,1..1,,ContactHeaderStructure,,Associated,,,,PersonNameStructure,PersonNameStructure,,
500,BCC,1,Telephone,1..1,,ContactHeaderStructure,,Telephone,,Code,,,SAFshorttextType,,
501,BCC,1,Fax,0..1,,ContactHeaderStructure,,Fax,,Code,,,SAFshorttextType,,
502,BCC,1,Email,0..1,,ContactHeaderStructure,,Email,,Text,,,SAFmiddle2textType,,
503,BCC,1,Website,0..1,,ContactHeaderStructure,,Website,,Code,,,anyURI,,
504,ACC,,ContactInformationStructure,1..1,,ContactInformationStructure,,Details,,,,,,,[Common to all SAFs] Contact information of a company.
505,BCC,1,Telephone,0..1,,ContactInformationStructure,,Telephone,,Code,,,SAFshorttextType,,
506,BCC,1,Fax,0..1,,ContactInformationStructure,,Fax,,Code,,,SAFshorttextType,,
507,BCC,1,Email,0..1,,ContactInformationStructure,,Email,,Text,,,SAFmiddle2textType,,
508,BCC,1,Website,0..1,,ContactInformationStructure,,Website,,Code,,,anyURI,,
509,ACC,,HeaderStructure,0..1,,HeaderStructure,,Details,,,,,,,[Common to all SAFs] Overall information about this Standard Auditfile.
510,BCC,1,AuditFileVersion,1..1,,HeaderStructure,,AuditFileVersion,,Code,,,SAFcodeType,,Identification of the Standard Audit File SAF-T version being used
511,BCC,1,AuditFileCountry,1..1,,HeaderStructure,,AuditFileCountry,,Code,,,ISOCountryCode,,Two-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands.
512,BCC,1,AuditFileRegion,1..1,,HeaderStructure,,AuditFileRegion,,Code,,,SAFcodeType,,Country specific code to indicate regions / provinces within the tax authority. Preferably described according to ISO 3166-2. Example: GB-KEN for Kent county in the United Kingdom.
513,BCC,1,AuditFileDateCreated,0..1,,HeaderStructure,,AuditFileDateCreated,,Date,,,date,,Date of production of SAF-T
514,BCC,1,SoftwareCompanyName,1..1,,HeaderStructure,,SoftwareCompanyName,,Text,,,SAFmiddle2textType,,Name of the software company whose product created the SAF-T.
515,BCC,1,SoftwareID,1..1,,HeaderStructure,,SoftwareID,,Text,,,SAFlongtextType,,Name of the Software that generated the SAF-T.
516,BCC,1,SoftwareVersion,1..1,,HeaderStructure,,SoftwareVersion,,Code,,,SAFshorttextType,,Version of the software that created the SAF-T.
517,ASCC,1,Company,1..1,,HeaderStructure,,Associated,,,,CompanyHeaderStructure,CompanyHeaderStructure,,Company's name and address details.
518,BCC,1,DefaultCurrencyCode,1..1,,HeaderStructure,,DefaultCurrencyCode,,Code,,,ISOCurrencyCode,,Three letter Currency Code  (ISO 4217) of local currency which is the default for the SAF.
519,ASCC,1,SelectionCriteria,1..1,,HeaderStructure,,Associated,,,,SelectionCriteriaStructure,SelectionCriteriaStructure,,Criteria set by the user to populate the audit files
520,BCC,1,HeaderComment,0..1,,HeaderStructure,,HeaderComment,,Text,,,SAFlongtextType,,Space for any further generic comments on the SAF-T. Revenue Bodies should consider what information they would expect to see here.
521,ACC,,PersonNameStructure,0..1,,PersonNameStructure,,Details,,,,,,,[Common to all SAFs] All information about the name of a natural person.
522,BCC,1,Title,1..1,,PersonNameStructure,,Title,,Code,,,SAFcodeType,,
523,BCC,1,FirstName,0..1,,PersonNameStructure,,FirstName,,Text,,,SAFmiddle1textType,,
524,BCC,1,Initials,1..1,,PersonNameStructure,,Initials,,Code,,,SAFshorttextType,,
525,BCC,1,LastNamePrefix,0..1,,PersonNameStructure,,LastNamePrefix,,Code,,,SAFshorttextType,,"A textual expression of a prefix that precedes this person's family name such as Van, Von."
526,BCC,1,LastName,0..1,,PersonNameStructure,,LastName,,Text,,,SAFmiddle2textType,,
527,BCC,1,BirthName,1..1,,PersonNameStructure,,BirthName,,Text,,,SAFmiddle2textType,,
528,BCC,1,Salutation,0..1,,PersonNameStructure,,Salutation,,Code,,,SAFshorttextType,,"A formal sign or expression of greeting, expressed as text, that is appropriate for this person such as Right Honourable, Monsignor or Madam."
529,BCC,1,OtherTitles,0..1,,PersonNameStructure,,OtherTitles,,Code,,,SAFshorttextType,,
530,ACC,,SelectionCriteriaStructure,0..1,,SelectionCriteriaStructure,,Details,,,,,,,[Common to all SAFs] The selection criteria used to generate this Standard Auditfile
531,BCC,1,TaxReportingJurisdiction,0..1,,SelectionCriteriaStructure,,TaxReportingJurisdiction,,Text,,,SAFmiddle1textType,,Identifies the tax jurisdiction for whose purpose the SAF has been created. Principally for use where a single Revenue body covers more than one territory.
532,BCC,1,CompanyEntity,0..1,,SelectionCriteriaStructure,,CompanyEntity,,Text,,,SAFmiddle2textType,,For use where data has been extracted from the full data set by reference to a specific corporate entity.
533,ASCC,1,choice_SelectionStartDate-SelectionEndDate/PeriodStart-PeriodStartYear-PeriodEnd-PeriodEndYear,1..1,,SelectionCriteriaStructure,,Associated,,,,choice_SelectionStartDate-SelectionEndDate/PeriodStart-PeriodStartYear-PeriodEnd-PeriodEndYear,,,"Allows for a choice between selection on calendar dates and periods according to the accounting system, e.g. 1 to 12 for a 12-months accounting system."
534,ACC,1,choice_SelectionStartDate-SelectionEndDate/PeriodStart-PeriodStartYear-PeriodEnd-PeriodEndYear,1..1,,SelectionCriteriaStructure,,Details,,,,,,,"Allows for a choice between selection on calendar dates and periods according to the accounting system, e.g. 1 to 12 for a 12-months accounting system."
535,ASCC,2,SelectionStartDate-SelectionEndDate,,,SelectionStartDate-SelectionEndDate,,Associated,,,,SelectionStartDate-SelectionEndDate,,,
536,ACC,2,SelectionStartDate-SelectionEndDate,,,SelectionStartDate-SelectionEndDate,,Details,,,,,,,
537,BCC,3,SelectionStartDate,1..1,,SelectionStartDate-SelectionEndDate,,SelectionStartDate,,Date,,,date,,The start date for the reporting period covered by the SAF.
538,BCC,3,SelectionEndDate,1..1,,SelectionStartDate-SelectionEndDate,,SelectionEndDate,,Date,,,date,,The end date for the reporting period covered by the SAF.
539,ASCC,2,PeriodStart-PeriodStartYear-PeriodEnd-PeriodEndYear,,,PeriodStart-PeriodStartYear-PeriodEnd-PeriodEndYear,,Associated,,,,PeriodStart-PeriodStartYear-PeriodEnd-PeriodEndYear,,,
540,ACC,2,PeriodStart-PeriodStartYear-PeriodEnd-PeriodEndYear,,,PeriodStart-PeriodStartYear-PeriodEnd-PeriodEndYear,,Details,,,,,,,
541,BCC,3,PeriodStart,1..1,,PeriodStart-PeriodStartYear-PeriodEnd-PeriodEndYear,,PeriodStart,,,,,nonNegativeInteger,,The first Accounting Period covered by the SAF.
542,BCC,3,PeriodStartYear,1..1,,PeriodStart-PeriodStartYear-PeriodEnd-PeriodEndYear,,PeriodStartYear,,,,,,,The Accounting Year in which the PeriodStart falls.
543,BCC,3,PeriodEnd,1..1,,PeriodStart-PeriodStartYear-PeriodEnd-PeriodEndYear,,PeriodEnd,,,,,nonNegativeInteger,,The last Accounting Period covered by the SAF.
544,BCC,3,PeriodEndYear,1..1,,PeriodStart-PeriodStartYear-PeriodEnd-PeriodEndYear,,PeriodEndYear,,,,,,,The Accounting Year in which the PeriodEnd falls.
545,BCC,1,DocumentType,0..1,,SelectionCriteriaStructure,,DocumentType,,Text,,,SAFlongtextType,,Type of documents selected. For use where the data has been restricted by reference to particular transaction types.
546,BCC,1,OtherCriteria,0..*,,SelectionCriteriaStructure,,OtherCriteria,,Text,,,SAFlongtextType,,Any other criteria used in selecting data. Individual Revenue Bodies may wish to draw up a list of other acceptable selection criteria for use within their jurisdiction
547,ACC,,TaxIDStructure,,,TaxIDStructure,,Details,,,,,,,[Common to all SAFs] Tax information of a company.
548,BCC,1,TaxRegistrationNumber,1..1,,TaxIDStructure,,TaxRegistrationNumber,,Text,,,SAFmiddle1textType,,Unique number issued by a Revenue Body for use by the company.
549,BCC,1,TaxType,1..1,,TaxIDStructure,,TaxType,,Code,,,SAFcodeType,,For use where information reported in the SAF-T covers more than one type of tax regime: to identify the type of tax regime to which this entry relates.
550,BCC,1,TaxNumber,0..1,,TaxIDStructure,,TaxNumber,,Text,,,SAFmiddle1textType,,"The tax registration number for the particular tax regime referred to by TaxType, f.i. VAT-number"
551,BCC,1,TaxAuthority,0..1,,TaxIDStructure,,TaxAuthority,,Text,,,SAFmiddle1textType,,Identification of the Revenue Body to which this TaxType refers.
552,BCC,1,TaxVerificationDate,0..1,,TaxIDStructure,,TaxVerificationDate,,Date,,,date,,The date that the tax registration details referred to above were last checked.
553,ACC,,TaxInformationStructure,0..1,,TaxInformationStructure,,Details,,,,,,, Tax Amount information structure
554,BCC,1,TaxType,1..1,,TaxInformationStructure,,TaxType,,Code,,,SAFcodeType,,Tax type for look-up in tables
555,BCC,1,TaxCode,0..1,,TaxInformationStructure,,TaxCode,,Code,,,SAFcodeType,,Tax Code for lookup in tables
556,BCC,1,TaxPercentage,0..1,,TaxInformationStructure,,TaxPercentage,,Percentage,,,decimal,,Tax percentage.
557,BCC,1,TaxBase,0..1,,TaxInformationStructure,,TaxBase,,Numeric,,,decimal,,"The base on which the tax is calculated. This can be an amount, or a quantity, eg. Litres."
558,BCC,1,TaxBaseDescription,0..1,,TaxInformationStructure,,TaxBaseDescription,,Text,,,SAFmiddle2textType,,Description of the value in the TaxBase. Eg. Litres for excises on alcoholic bevarages.
559,BCC,1,TaxAmount,0..1,,TaxInformationStructure,,TaxAmount,,,,,AmountStructure,,Tax amount information
560,BCC,1,TaxExemptionReason,1..1,,TaxInformationStructure,,TaxExemptionReason,,Text,,,SAFmiddle2textType,,Tax exemption or reduction reason or rationale
561,BCC,1,TaxDeclarationPeriod,0..1,,TaxInformationStructure,,TaxDeclarationPeriod,,Text,,,SAFmiddle1textType,,The identification of the declaration/return in which the taxamount is reported to the Revenue body.
562,QDT,,SAFmonetaryType,0..1,,,,,,,,,,,"Monetary amount.18 digits max, of which 2 can be fractional digits."
563,QDT,,SAFexchangerateType,1..1,,,,,,,,,,,"18 digits max, of which 8 can be fractional digits."
564,QDT,,SAFquantityType,1..1,,,,,,,,,,,"Used to describe a quantity. Monetary amount. 22 digits max, of which 6 can be fractional digits."
565,QDT,,SAFweightType,1..1,,,,,,,,,,,"Describes a weight. Monetary amount.14 digits max, of which 3 can be fractional digits."
566,QDT,,SAFcodeType,1..1,,,,,,,,,,,Text of max 9 characters.
567,QDT,,SAFshorttextType,1..1,,,,,,,,,,,18 character text.
568,QDT,,SAFmiddle1textType,1..1,,,,,,,,,,,35 character text.
569,QDT,,SAFmiddle2textType,1..1,,,,,,,,,,,70 character text.
570,QDT,,SAFlongtextType,1..1,,,,,,,,,,,256 character text.
571,QDT,,ISOCountryCode,1..1,,,,,,,,,,,Two-letter country code according to ISO 3166-1 alpha 2 standard. Example: NL for the Netherlands.
572,QDT,,ISOCurrencyCode,1..1,,,,,,,,,,,Three-letter currency code according to ISO 4217 standard. Example: EUR for the Euros or USD for American Dollars.
,,,,1..1,,,,,,,,,,,
